word_id,level,surface,reading_kana,meaning_ko,jp,ko,naver_source_name,naver_example_id,query,score,meaning_hits,target_match,review_flags,source_url
w_016ef21c6de7dbf3,N3,素,もと,"본질, 바탕",日本の家庭では、固形状の「コンソメスープの素」を溶かしてコンソメ味を作ることがほとんどです。,일본의 가정에서는 대부분 고형의 '콘소메 스프의 가루'를 녹여 콩소메 맛을 만든다.,연세대학교 한국어학당 국가별 대표음식,381522fc812a412c9ad1f9cbe0645578,素,156,0,surface,한국어 뜻 직접 일치어 없음,https://ja.dict.naver.com/#/search?query=%E7%B4%A0
w_0182f61cfb3d14c2,N3,主だ,おもだ,주되다,ジスは会社を運営する実権を握っている実質的な主だ。,지수는 회사를 운영의 실권을 쥐고 있는 실질적인 주인이다.,국립국어원 한국어-일본어 학습사전,03d9f5771a124e8cb77199412d4a08ab,主だ 주되다,94,0,surface,한국어 뜻 직접 일치어 없음,https://ja.dict.naver.com/#/search?query=%E4%B8%BB%E3%81%A0
w_01d971bdea79e4f6,N2,混合,こんごう,혼합,スノー・マシーンは，水と空気を混合させてつくった雪の核を散布し，別に散布した水の粒と空中で結合させて人工の雪を降らせる機械である,"스노 머신은 물과 공기를 혼합시켜 만든 눈의 핵을 살포하고, 따로 살포한 물의 알갱이와 공중에서 결합시켜 인공 눈을 내리게 하는 기계이다.",민중서림 엣센스 외래어사전,75f245f418604aeaa3a7da485668bcf0,混合 혼합,134,1,surface,네이버 예문 ID 중복; 일본어 예문 문장 중복,https://ja.dict.naver.com/#/search?query=%E6%B7%B7%E5%90%88
w_01fbc4d975317826,N4,歌,うた,노래,歌や俳句を作る,和歌나 俳句를 지어 읊다,민중서림 엣센스 일한사전,6e4ce6f47432492e86988e10085402ec,歌,97,,,네이버 예문 ID 중복; 일본어 예문 문장 중복,https://ja.dict.naver.com/#/search?query=%E6%AD%8C
w_020d0976fb3b52e1,N4,服,ふく,옷,この服が、ぴったりです。,이 옷이 딱 맞아요. (쇼핑>옷가게/신발가게>입어보기),글로벌회화,e19dcd8e46a044be9eb5866f76bf6cfb,服 옷,120,0,surface,한국어 뜻 직접 일치어 없음,https://ja.dict.naver.com/#/search?query=%E6%9C%8D
w_0244640aa50f62b5,N1,潔い,いさぎよい,"깨끗하다,후련하다",潔い最期を遂げる.,깨끗한 최후를 마치다,민중서림 엣센스 한일사전,14f067ecf94a4004b2eae47d4eeea1ca,潔い,122,0,surface,한국어 뜻 직접 일치어 없음,https://ja.dict.naver.com/#/search?query=%E6%BD%94%E3%81%84
w_02556a9f75b82a91,N1,愛着,あいちゃく,애착,サックスもクラリネットも吹くが，「静かで心にしみる独特の音色」を持つバスーンへの愛着は格別だ,"색소폰도 클라리넷도 불지만, ‘조용하고 마음에 스미는 독특한 음색’을 지닌 바순에 대한 애착은 각별하다.",민중서림 엣센스 외래어사전,108118abb27e4ff0803d1754b0375ca3,愛着 애착,134,1,surface,네이버 예문 ID 중복; 일본어 예문 문장 중복,https://ja.dict.naver.com/#/search?query=%E6%84%9B%E7%9D%80
w_02e655f20b696e34,N2,甘やかす,あまやかす,응석부리게하다,子供を甘やかすと行儀が悪くなる.,애를 응석받이로 기르면 버릇이 나빠진다,민중서림 엣센스 한일사전,0ecedab36d074b65822e7f03ccf7318c,甘やかす,122,0,surface,한국어 뜻 직접 일치어 없음,https://ja.dict.naver.com/#/search?query=%E7%94%98%E3%82%84%E3%81%8B%E3%81%99
w_031eab674a83af74,N3,鉄,てつ,철,この鉱山では鉄を産する,이 광산에서는 철을 산출한다,민중서림 엣센스 일한사전,08f870b474124516b43b8b308596257d,鉄 철,117,0,surface,한국어 뜻 직접 일치어 없음,https://ja.dict.naver.com/#/search?query=%E9%89%84
w_0356a9732a7cd592,N2,真っ先,まっさき,"맨 앞, 제일 먼저",真っ先に食べる,제일 먼저 먹다,민중서림 엣센스 일한사전,78beb6da058c40169d70aad30d161d90,真っ先,163,2,surface,네이버 예문 ID 중복; 일본어 예문 문장 중복,https://ja.dict.naver.com/#/search?query=%E7%9C%9F%E3%81%A3%E5%85%88
w_03788856aa07f183,N2,段階,だんかい,단계,"まだ仮定の段階だから,はっきりしない.",아직 가정의 단계라 확실하지 않다,민중서림 엣센스 한일사전,bdaf1eef79494bdfb56764e7d3e57b46,段階 단계,134,1,surface,네이버 예문 ID 중복; 일본어 예문 문장 중복,https://ja.dict.naver.com/#/search?query=%E6%AE%B5%E9%9A%8E
w_037ca03be8adf4d5,N1,権威,けんい,권위,"権威がなければ,組織の秩序は崩れる.",권위가 없으면 조직의 질서는 무너진다,민중서림 엣센스 한일사전,5bb1c13fecf44bd4a76d29fe7860563b,権威,102,,,네이버 예문 ID 중복; 일본어 예문 문장 중복,https://ja.dict.naver.com/#/search?query=%E6%A8%A9%E5%A8%81
w_039f7bfcf0ee6d00,N1,分配,ぶんぱい,분배,もうけを均等に分配する.,번 것을 균등하게 분배하다,민중서림 엣센스 한일사전,04c3ea3e76754cdd98a4aefcd2402ae3,分配 분배,134,1,surface,네이버 예문 ID 중복; 일본어 예문 문장 중복,https://ja.dict.naver.com/#/search?query=%E5%88%86%E9%85%8D
w_03d5c73ae1fae891,N3,少なくなる,すくなくなる,적어지다,夜になると人影も少なくなる.,밤이 되면 인기척도 드물어진다,민중서림 엣센스 한일사전,55c13e27c3894b669e748389aed007b9,少なくなる 적어지다,122,0,surface,한국어 뜻 직접 일치어 없음,https://ja.dict.naver.com/#/search?query=%E5%B0%91%E3%81%AA%E3%81%8F%E3%81%AA%E3%82%8B
w_03de143ddf3b2084,N5,げんかん,げんかん,현관,玄関の外に外灯をつける.,현관 밖에 외등을 달다,민중서림 엣센스 한일사전,3ca7ccd693b74d56bb53ef6fa66afb0f,げんかん 현관,176,1,surface,네이버 예문 ID 중복; 일본어 예문 문장 중복,https://ja.dict.naver.com/#/search?query=%E3%81%92%E3%82%93%E3%81%8B%E3%82%93
w_03f9f008503dfad8,N1,改革,かいかく,개혁,改革を政策の主軸とする.,개혁을 정책의 주축으로 삼다,민중서림 엣센스 한일사전,6a44749a45104da1a6d9c9fea02f6f48,改革 개혁,134,1,surface,네이버 예문 ID 중복; 일본어 예문 문장 중복,https://ja.dict.naver.com/#/search?query=%E6%94%B9%E9%9D%A9
w_042062561151aeba,N1,打開,だかい,타개,みんな協心して難局を打開する.,모두 협심하여 난국을 타개하다,민중서림 엣센스 한일사전,9d821a8cb5954f9db086e03c7b21a52a,打開 타개,134,1,surface,네이버 예문 ID 중복; 일본어 예문 문장 중복,https://ja.dict.naver.com/#/search?query=%E6%89%93%E9%96%8B
w_0448ba5ff37549ec,N1,牧師,ぼくし,목사,牧師が祝福を与える.,목사가 축복을 해 주다,민중서림 엣센스 한일사전,84026024e94c407b8cb3ec192e43a8a4,牧師 목사,134,1,surface,네이버 예문 ID 중복; 일본어 예문 문장 중복,https://ja.dict.naver.com/#/search?query=%E7%89%A7%E5%B8%AB
w_047f09e5f690de59,N3,地元,じもと,"출신지역,고장,현지",地元で大量に得票する.,출신 지역에서 대량 득표를 하다,민중서림 엣센스 한일사전,020db5f5f7be4e81b3d076a6407c3852,地元 출신지역 고장 현지,134,1,surface,네이버 예문 ID 중복; 일본어 예문 문장 중복,https://ja.dict.naver.com/#/search?query=%E5%9C%B0%E5%85%83
w_04b0da0f7a8c4f26,N1,異例の,いれいの,이례인,異例の待遇を受ける,이례적인[전례 없는] 대우를 받다,민중서림 엣센스 일한사전,72c66bdf3a244a45bbc934d2f4c24fe8,異例の,117,0,surface,한국어 뜻 직접 일치어 없음,https://ja.dict.naver.com/#/search?query=%E7%95%B0%E4%BE%8B%E3%81%AE
w_04b273485f341a91,N1,忍ぶ,しのぶ,"숨다,견디다",忍ぶ者に幸があるのだ.,참는 자에게 복이 있느니,민중서림 엣센스 한일사전,cc889d3225e64efaaef9f72b05923d27,忍ぶ,164,0,surface,한국어 뜻 직접 일치어 없음,https://ja.dict.naver.com/#/search?query=%E5%BF%8D%E3%81%B6
w_04bbfe9d5df156d4,N4,サンダル,サンダル,샌들,彼女は花柄ワンピースに、フリンジが付いたプラットホームサンダルを合わせた,그녀는 꽃무늬 원피스에 술 장식이 달린 통굽 샌들을 매치했다,민중서림 엣센스 일한사전,2bd728d10bf44ddf89aeb4b706e20d1f,サンダル 샌들,134,1,surface,네이버 예문 ID 중복; 일본어 예문 문장 중복,https://ja.dict.naver.com/#/search?query=%E3%82%B5%E3%83%B3%E3%83%80%E3%83%AB
w_04c77a5abf4b153b,N1,緩やか,ゆるやか,"완만하다, 느슨하다",緩やかに下降している,완만하게 하강하고 있다,민중서림 엣센스 일한사전,b77c724560304d608bb9ae6d4b6588ad,緩やか,117,0,surface,한국어 뜻 직접 일치어 없음,https://ja.dict.naver.com/#/search?query=%E7%B7%A9%E3%82%84%E3%81%8B
w_04cb8b3ca633fede,N4,道具,どうぐ,도구,結婚を出世の道具にする.,결혼을 출세의 도구로 삼다,민중서림 엣센스 한일사전,590b79f701cc4b62a8abfad89fd02b1b,道具 도구,134,1,surface,네이버 예문 ID 중복; 일본어 예문 문장 중복,https://ja.dict.naver.com/#/search?query=%E9%81%93%E5%85%B7
w_057776e0e75563f7,N1,傷付く,きずつく,"상처받다, 다치다",心が傷付く,마음에 상처를 입다,교학사 일한사전,2d5f78b977cb490c8f57dbef0ca2774c,傷付く,107,0,surface,한국어 뜻 직접 일치어 없음,https://ja.dict.naver.com/#/search?query=%E5%82%B7%E4%BB%98%E3%81%8F
w_059cf1ada7c04d02,N2,不調だ,ふちょうだ,"상태가나쁘다,부진하다",エンジンが不調だ,엔진 상태가 좋지 않다,민중서림 엣센스 일한사전,a9db66307f7646048828f7709fdd7407,不調だ,117,0,surface,한국어 뜻 직접 일치어 없음,https://ja.dict.naver.com/#/search?query=%E4%B8%8D%E8%AA%BF%E3%81%A0
w_05a049e95e301c2d,N1,能力,のうりょく,능력,"意欲もあり,さらに能力もある",의욕도 있고 더군다나 능력도 있다,민중서림 엣센스 한일사전,ebbb9c6c2c5b4d2aa01a62afb87cad49,能力 능력,134,1,surface,네이버 예문 ID 중복; 일본어 예문 문장 중복,https://ja.dict.naver.com/#/search?query=%E8%83%BD%E5%8A%9B
w_05be6be7e376b26a,N1,じっと見る,じっとみる,가만히 보다,小さな虫一匹さえもじっと見ているとその生命の驚異を再発見することができる。,작은 벌레 하나도 가만히 보고 있으면 그 생명의 경이로움을 재발견할 수 있다.,국립국어원 한국어-일본어 학습사전,6d022fdef0324360ac4a38ef024c9807,じっと見る 가만히 보다,64,1,stem,활용 어간으로만 목표어 확인; 자동 선택 점수 80 미만,https://ja.dict.naver.com/#/search?query=%E3%81%98%E3%81%A3%E3%81%A8%E8%A6%8B%E3%82%8B
w_05fd1eca6f1886bd,N2,祝う,いわう,축하하다,祝の品品,축하를 위한 여러 가지 물건,교학사 일한사전,f447b440c2fd459b8c41ed86d69f9289,祝う 축하하다,8,0,stem,한국어 뜻 직접 일치어 없음; 활용 어간으로만 목표어 확인; 자동 선택 점수 80 미만,https://ja.dict.naver.com/#/search?query=%E7%A5%9D%E3%81%86
w_06339cbe7e38fb2e,N3,状態,じょうたい,"상태, 상황",状態が異常に見える,상태가 이상한 것 같다,민중서림 엣센스 일한사전,ede5e5f2f133438fa6c5a68ec458fcbd,状態 상태 상황,129,1,surface,네이버 예문 ID 중복; 일본어 예문 문장 중복,https://ja.dict.naver.com/#/search?query=%E7%8A%B6%E6%85%8B
w_06502f590cb6c6fe,N2,取り上げる,とりあげる,"집어들다,채택하다",今まさに活動している，スポンティニアスなアーチストを取り上げる雑誌,지금 막 활동하고 있는 자발적인 예술가들을 다루는 잡지.,민중서림 엣센스 외래어사전,2b300d092e5048319b6fa660031d78c2,取り上げる,114,0,surface,한국어 뜻 직접 일치어 없음,https://ja.dict.naver.com/#/search?query=%E5%8F%96%E3%82%8A%E4%B8%8A%E3%81%92%E3%82%8B
w_066f479d049724ea,N3,一秒,いちびょう,1초,一秒の狂いもない.,1초의 오차도 없다,민중서림 엣센스 한일사전,3165aae397bb4e4aaf249e3957556f79,一秒 1초,100,0,surface,한국어 뜻 직접 일치어 없음,https://ja.dict.naver.com/#/search?query=%E4%B8%80%E7%A7%92
w_068aae44916bbad9,N3,券,けん,"표, 증명서",券を買って乗る,표를 사서 타다,민중서림 엣센스 일한사전,8b1c0f922bd64bb28d1c94a226909644,券 표 증명서,117,0,surface,한국어 뜻 직접 일치어 없음,https://ja.dict.naver.com/#/search?query=%E5%88%B8
w_06c3d7fabba14770,N4,お土産,おみやげ,가족이나 친지에게 선물할 목적으로 여행지에서 사 오는 그 지방의 특산 물이나 지인의 집을 방문할 때 고마 움을 표하려고 가지고 가는 물건,現地のお土産を買い忘れた,현지에서 선물 사는 것을 잊었다,민중서림 엣센스 일한사전,4a47dcb7baaf44359c119ce25f1dd01c,お土産,97,0,surface,한국어 뜻 직접 일치어 없음,https://ja.dict.naver.com/#/search?query=%E3%81%8A%E5%9C%9F%E7%94%A3
w_06e9d5004a46e142,N3,飛び出す,とびだす,뛰쳐나가다,普通の物質では，中に飛び出すことのできる電子があっても，熱を加えたり光を当てないと出てこないが，ダイヤモンドは，中の電子が飛び出しやすい性質があることが知られている,"여느 물질에서는 속에 튀어나갈 수 있는 전자가 있어도 열을 가하거나 빛을 비추지 않으면 나오지 않지만, 다이아몬드는 속의 전자가 튀어나가기 쉬운 성질이 있다는 것이 알려져 있다.",민중서림 엣센스 외래어사전,14b35158117e48d0bef0e1bf0b9ae90d,飛び出す,117,0,surface,한국어 뜻 직접 일치어 없음,https://ja.dict.naver.com/#/search?query=%E9%A3%9B%E3%81%B3%E5%87%BA%E3%81%99
w_0744100c4e1f9bac,N2,ダブル,ダブル,더블,彼女は15得点、11リバウンドでダブルダブルを達成した,"그녀는 15득점, 11리바운드로 더블더블을 달성했다",민중서림 엣센스 일한사전,8bdcfdb8aa3c41a6bc86c89ac0592ea0,ダブル 더블,134,1,surface,네이버 예문 ID 중복; 일본어 예문 문장 중복,https://ja.dict.naver.com/#/search?query=%E3%83%80%E3%83%96%E3%83%AB
w_076107c67547b1b9,N1,軸,じく,축,軸にべルトを掛ける.,축에 벨트를 걸다,민중서림 엣센스 한일사전,f562a875d3954bacb1d8c9a4294e9609,軸 축,122,0,surface,한국어 뜻 직접 일치어 없음,https://ja.dict.naver.com/#/search?query=%E8%BB%B8
w_0787d4f6eb05df72,N3,澄む,すむ,"분명한, 맑은(날씨), 되다 투명한",池の水が澄む,연못 물이 말개지다,민중서림 엣센스 한일사전,24e8463f4f5f450c92252da82ee8674b,澄む,109,0,surface,한국어 뜻 직접 일치어 없음,https://ja.dict.naver.com/#/search?query=%E6%BE%84%E3%82%80
w_07c535ca309cce2e,N4,治る,なおる,(병이) 낫다,気血の流れを良し、治る力を高めるのが瀉法である,기혈의 흐름을 좋게 하여 치유력을 높이는 것이 사법이다,민중서림 엣센스 일한사전,1d0e94b4755941d0bef4624f6148c609,治る,102,,,네이버 예문 ID 중복; 일본어 예문 문장 중복,https://ja.dict.naver.com/#/search?query=%E6%B2%BB%E3%82%8B
w_07db4d8b410920a0,N1,解除,かいじょ,해제,自動ログインを設定[解除]する,자동 로그인 기능을 설정[해제]하다,민중서림 엣센스 일한사전,106287eb54b143b5b71dc877a5e09dc7,解除,97,,,네이버 예문 ID 중복; 일본어 예문 문장 중복,https://ja.dict.naver.com/#/search?query=%E8%A7%A3%E9%99%A4
w_0837331ccfed6bde,N2,製造,せいぞう,제조,組み立て部品を製造している,조립 부품을 제조하고 있다,민중서림 엣센스 일한사전,184d2c4e8b8a4f248e5d6462b0c79c53,製造 제조,129,1,surface,네이버 예문 ID 중복; 일본어 예문 문장 중복,https://ja.dict.naver.com/#/search?query=%E8%A3%BD%E9%80%A0
w_0868c5b03add8f4b,N4,公園,こうえん,공원,公園を一回りする,공원을 한 바퀴 돌다,민중서림 엣센스 일한사전,941fc34cc2454f9498a56d2a196447c1,公園,97,,,네이버 예문 ID 중복; 일본어 예문 문장 중복,https://ja.dict.naver.com/#/search?query=%E5%85%AC%E5%9C%92
w_089d30f4097e7fb0,N2,電流,でんりゅう,전류,この電線には二百ボルトの電流が流れている.,이 전선에는 200볼트의 전류가 흐르고 있다,민중서림 엣센스 한일사전,0d5a54e33eeb4c39a3143cec52c81ba0,電流 전류,134,1,surface,네이버 예문 ID 중복; 일본어 예문 문장 중복,https://ja.dict.naver.com/#/search?query=%E9%9B%BB%E6%B5%81
w_089e5e37dd2ccd76,N4,いっしょうけんめい,いっしょうけんめい,열심히,息子と娘を生んで一生懸命暮らした.,아들딸 낳고 열심히 살았다,민중서림 엣센스 한일사전,a18804816137429e9be2545089f34005,いっしょうけんめい 열심히,136,1,surface,네이버 예문 ID 중복; 일본어 예문 문장 중복,https://ja.dict.naver.com/#/search?query=%E3%81%84%E3%81%A3%E3%81%97%E3%82%87%E3%81%86%E3%81%91%E3%82%93%E3%82%81%E3%81%84
w_08d10dee086ef695,N1,粥,かゆ,죽,粥に薄皮ができる.,죽에 더껑이가 지다,민중서림 엣센스 한일사전,deebd0371e784ce49a88793c658263c3,粥 죽,122,0,surface,한국어 뜻 직접 일치어 없음,https://ja.dict.naver.com/#/search?query=%E7%B2%A5
w_090147922bebc86a,N4,火事,かじ,화재,火事が一日に五件あった.,화재가 하루에 다섯 건 있었다,민중서림 엣센스 한일사전,ab90cad601774841ae920759831909d9,火事 화재,134,1,surface,네이버 예문 ID 중복; 일본어 예문 문장 중복,https://ja.dict.naver.com/#/search?query=%E7%81%AB%E4%BA%8B
w_09240cecff085cb3,N2,裏切る,うらぎる,배반하다,裏切者を叩き出す,배반자를 내쫓다,교학사 일한사전,d39647fc833541138c16c47c3a2b8877,裏切る 배반하다,22,0,stem,한국어 뜻 직접 일치어 없음; 활용 어간으로만 목표어 확인; 자동 선택 점수 80 미만,https://ja.dict.naver.com/#/search?query=%E8%A3%8F%E5%88%87%E3%82%8B
w_094490be80a547d0,N4,病院,びょういん,병원,"看病のため,病院で起居した",간병을 위해 병원에서 기거했다,민중서림 엣센스 한일사전,5fed54159e2b4f3eb129d30c754124ea,病院 병원,134,1,surface,네이버 예문 ID 중복; 일본어 예문 문장 중복,https://ja.dict.naver.com/#/search?query=%E7%97%85%E9%99%A2
w_097715018c07e82b,N5,南,みなみ,남(쪽),機首[舳先]を南に向ける.,기수[뱃머리]를 남으로 돌리다,민중서림 엣센스 한일사전,65706d392084450d97ca927e7ba939c0,南 남 쪽,122,0,surface,한국어 뜻 직접 일치어 없음,https://ja.dict.naver.com/#/search?query=%E5%8D%97
w_09b2314aa968b37d,N1,強烈,きょうれつ,강렬함,強烈なビートのロックを演奏する.,강렬한 비트의 록을 연주하다,민중서림 엣센스 한일사전,ad1fb18118a94eccbd642ae21b504604,強烈 강렬함,122,0,surface,한국어 뜻 직접 일치어 없음,https://ja.dict.naver.com/#/search?query=%E5%BC%B7%E7%83%88
w_09cdf9a8f3634a76,N1,快い,こころよい,기분좋다,快いリズムに合わせて、ダンスを踊る,경쾌한[흥겨운] 리듬에 맞춰 춤을 추다,민중서림 엣센스 일한사전,8be9c548f33446fcbca63891ce856e2e,快い,102,,,네이버 예문 ID 중복; 일본어 예문 문장 중복,https://ja.dict.naver.com/#/search?query=%E5%BF%AB%E3%81%84
w_09d6b72c92cc2716,N3,現金,げんきん,현금,チップを現金に替えてください。,칩을 현금으로 바꿔 주세요. (엔터테인먼트>카지노>환전소),글로벌회화,2ac213ebcd5a4ece8026d909f7655452,現金 현금,132,1,surface,네이버 예문 ID 중복; 일본어 예문 문장 중복,https://ja.dict.naver.com/#/search?query=%E7%8F%BE%E9%87%91
w_09e23b6f9018545a,N1,早急,さっきゅう,긴급한,ロ：早急に緊急会議を開くように。,나: 빨리 긴급회의를 소집하도록.,국립국어원 한국어-일본어 학습사전,788b177c2c644d15bb2dcf9d184f6e47,早急 긴급한,54,0,surface,한국어 뜻 직접 일치어 없음; 자동 선택 점수 80 미만; 네이버 예문 ID 중복; 일본어 예문 문장 중복,https://ja.dict.naver.com/#/search?query=%E6%97%A9%E6%80%A5
w_09e847bec6604294,N3,責める,せめる,"책망하다, 비난하다",学生たちばかり責めるわけにはいかない.,학생들만 나무랄 수도 없는 노릇이다,민중서림 엣센스 한일사전,b15c829907914cb798f8e08670264a86,責める,122,0,surface,한국어 뜻 직접 일치어 없음,https://ja.dict.naver.com/#/search?query=%E8%B2%AC%E3%82%81%E3%82%8B
w_0ac774f928c1e0ad,N1,嫌み,いやみ,불쾌한언행,嫌みを言ったらすねて帰ってしまった.,싫은 소릴 했더니 실쭉해서 가 버렸다,민중서림 엣센스 한일사전,a96d491714594a7390547b43c3dc6058,嫌み,122,0,surface,한국어 뜻 직접 일치어 없음; 네이버 예문 ID 중복; 일본어 예문 문장 중복,https://ja.dict.naver.com/#/search?query=%E5%AB%8C%E3%81%BF
w_0ad13c94c1b3dbe4,N2,応接,おうせつ,"접수, 환영",客の応接をする.,손님 접대를 하다,민중서림 엣센스 한일사전,97a8ccfdf68547f48f061c6a94ff06b4,応接,122,0,surface,한국어 뜻 직접 일치어 없음,https://ja.dict.naver.com/#/search?query=%E5%BF%9C%E6%8E%A5
w_0aeea70132137e86,N2,錆,さび,녹(색),鉄が腐食すると赤い錆びができる。,철이 부식되면 불그스름한 색의 녹이 슨다.,국립국어원 한국어-일본어 학습사전,77dc82f400154eb9bdf63c9cd34d7c34,錆 녹 색,144,0,surface,한국어 뜻 직접 일치어 없음,https://ja.dict.naver.com/#/search?query=%E9%8C%86
w_0b14b532ad37813f,N2,贈る,おくる,선물하다,土地の銘酒を贈る.,그 고장 명주를 선사하다,민중서림 엣센스 한일사전,0dde08c454324afd8c782d4bd857fa07,贈る,122,0,surface,한국어 뜻 직접 일치어 없음,https://ja.dict.naver.com/#/search?query=%E8%B4%88%E3%82%8B
w_0b3d3a0074dcadb3,N3,善,ぜん,"선, 착함",これすなわち善の悪に対する勝利である.,이것이 즉 선의 악에 대한 승리이다,민중서림 엣센스 한일사전,0a012ec54da84a82be04b2c33545c15d,善 선 착함,122,0,surface,한국어 뜻 직접 일치어 없음; 네이버 예문 ID 중복; 일본어 예문 문장 중복,https://ja.dict.naver.com/#/search?query=%E5%96%84
w_0b7a8c727e189fa0,N1,必死に頑張る,ひっしにがんばる,필사적으로 분발하다,生きるために必死に頑張る。,살기 위해 바둥대다.,국립국어원 한국어-일본어 학습사전,bb5d0b2d15494251bcd768ae2a46a96b,必死に頑張る,102,0,surface,한국어 뜻 직접 일치어 없음,https://ja.dict.naver.com/#/search?query=%E5%BF%85%E6%AD%BB%E3%81%AB%E9%A0%91%E5%BC%B5%E3%82%8B
w_0b80ed475f7435e9,N1,難航,なんこう,난항,各国の利害が対立し、交渉は難航を極めていた,각국의 이해가 대립하며 교섭은 난항을 거듭하고 있었다,민중서림 엣센스 일한사전,7cb6ba7641a04c7398d40deb162de67f,難航 난항,134,1,surface,네이버 예문 ID 중복; 일본어 예문 문장 중복,https://ja.dict.naver.com/#/search?query=%E9%9B%A3%E8%88%AA
w_0b99d6f77afb720d,N1,シンプルだ,シンプルだ,심플하다,彼の一見したところ「大したことのない」パーオン率の数値は、シンプルだが特徴ある事実で説明がつく。,"그의 보기에는 ""대단하지 않는"" 퍼온 율의 수치는, 심플하지만 특징이 있는 사실이고 설명이 된다.",플리토,9564134f86454daebcbd92950362a352,シンプルだ 심플하다,112,0,surface,한국어 뜻 직접 일치어 없음; 우선 검수 출처,https://ja.dict.naver.com/#/search?query=%E3%82%B7%E3%83%B3%E3%83%97%E3%83%AB%E3%81%A0
w_0c525cb56f2292d1,N3,光,ひかり,빛,光がもれてフィルムがかぶる.,빛이 새어 필름이 부옇게 되다,민중서림 엣센스 한일사전,7b23a2abc0324b5196b41e0877037177,光 빛,122,0,surface,한국어 뜻 직접 일치어 없음,https://ja.dict.naver.com/#/search?query=%E5%85%89
