id,level,surface,reading_kana,meaning_ko,issues,catalog_status,catalog_level,catalog_pron,catalog_entry,search_status,search_level,search_entry,jmdict_issue,jmdict_detail,example_source,example_contain_basis,example_jp,spelling_note,naver_means,source_url
w_df6f8bed5b534092,N5,にだい,にだい,두 대(자전거),naver-level-missing;example-headword-missing,naver_level_missing,,,,search_no_jlpt,,二大,,,naver,missing,電気バス2台を導入する,,,https://ja.dict.naver.com/#/search?query=%E3%81%AB%E3%81%A0%E3%81%84
w_d8dcbb01e7e6526f,N5,どう致しまして,どういたしまして,천만에요,naver-level-missing;naver-search-unmatched,naver_level_missing,,,,search_unmatched,,,,,naver,reading,昨日は失礼しました。どういたしまして、こちらこそ失礼いたしました,,,https://ja.dict.naver.com/#/search?query=%E3%81%A9%E3%81%86%E8%87%B4%E3%81%97%E3%81%BE%E3%81%97%E3%81%A6
w_a1a38e164f0a3264,N5,八十円,はちじゅうえん,80엔,naver-level-missing;spelling-surface-not-in-jmdict;naver-search-unmatched,naver_level_missing,,,,search_unmatched,,,surface-not-in-jmdict,no JMdict kanji form matches this surface,self,surface,この鉛筆は八十円です。,,,https://ja.dict.naver.com/#/search?query=%E5%85%AB%E5%8D%81%E5%86%86
w_9f4bac962871acc8,N5,おじさん,おじさん,"아저씨, 삼촌",example-headword-missing,match,N5,,おじさん,,,,,,naver,missing,少禿げの小父さん,,아저씨;백부·숙부의 높임말,https://ja.dict.naver.com/#/search?query=%E3%81%8A%E3%81%98%E3%81%95%E3%82%93
w_ea6f68c218e562a7,N5,お腹,おなか,배,naver-level-missing,naver_level_missing,,,,match,N5,御中·御腹,,,naver,surface,お腹が痛くてごろごろ転がった.,,,https://ja.dict.naver.com/#/search?query=%E3%81%8A%E8%85%B9
w_1f3b58708b016b7f,N5,そば,そば,"옆, 곁",level-ambiguous,manual_review,N4,稜,そば,manual_review,N5,蕎麦,,,naver,surface,私のそばにいてください。,,귀퉁이;모서리;はかま나 指貫의 옆구리를 튼 데,https://ja.dict.naver.com/#/search?query=%E3%81%9D%E3%81%B0
w_e3d3cc0b38f77224,N5,二キロ,にキロ,2킬로미터,naver-level-missing;spelling-surface-not-in-jmdict;naver-search-unmatched,naver_level_missing,,,,search_unmatched,,,surface-not-in-jmdict,no JMdict kanji form matches this surface,naver,surface,学校から半径二キロ以内にある.,,,https://ja.dict.naver.com/#/search?query=%E4%BA%8C%E3%82%AD%E3%83%AD
w_b064045ef64d646b,N5,お母さん,おかあさん,어머니,naver-level-missing,naver_level_missing,,,,match,N5,お母さん∙御母さん,,,naver,surface,"お母さん,うちの人はまだ帰りません.",,,https://ja.dict.naver.com/#/search?query=%E3%81%8A%E6%AF%8D%E3%81%95%E3%82%93
w_412d7a3479a4f8a3,N5,二匹,にひき,두 마리(고양이),spelling-surface-not-in-jmdict,match,N5,二匹,%E3%81%AB%E3%81%B2%E3%81%8D,,,,surface-not-in-jmdict,no JMdict kanji form matches this surface,naver,surface,二匹の猫がベランダで日向ぼっこをしている,,2마리,https://ja.dict.naver.com/#/search?query=%E4%BA%8C%E5%8C%B9
w_a4f86ff3aa7df0b8,N5,買い物,かいもの,"쇼핑, 장보기",naver-level-missing,naver_level_missing,,,,match,N5,買(い)物,,,naver,surface,買い物かごを持って買い物へ行った,,,https://ja.dict.naver.com/#/search?query=%E8%B2%B7%E3%81%84%E7%89%A9
w_11a2c660fd649dc1,N5,お姉さん,おねえさん,누나/언니,naver-level-missing,naver_level_missing,,,,match,N5,お姉さん·御姉さん,,,naver,surface,お姉さんとわたしは三歳ちがいだ.,,,https://ja.dict.naver.com/#/search?query=%E3%81%8A%E5%A7%89%E3%81%95%E3%82%93
w_87351a3c5f2160a9,N5,時々,ときどき,때때로,naver-level-missing,naver_level_missing,,,,search_no_jlpt,,東京タワー〜オカンとボクと、時々、オトン〜,,,naver,surface,時々、皮膚にちくっとした痛みを感じる,,,https://ja.dict.naver.com/#/search?query=%E6%99%82%E3%80%85
w_5284226e672d96c5,N5,二冊,にさつ,두 권(잡지),naver-level-missing;spelling-surface-not-in-jmdict,naver_level_missing,,,,search_no_jlpt,,二冊,surface-not-in-jmdict,no JMdict kanji form matches this surface,self,surface,この雑誌を二冊買いました。,,,https://ja.dict.naver.com/#/search?query=%E4%BA%8C%E5%86%8A
w_b24621b76259caa8,N5,三冊,さんさつ,세 권(책),naver-level-missing;spelling-surface-not-in-jmdict,naver_level_missing,,,,search_no_jlpt,,三冊,surface-not-in-jmdict,no JMdict kanji form matches this surface,self,surface,図書館で本を三冊借りました。,,,https://ja.dict.naver.com/#/search?query=%E4%B8%89%E5%86%8A
w_9f48fc575582aa14,N5,生まれる,うまれる,태어나다,naver-level-missing,naver_level_missing,,,,match,N5,生(ま)れる·産(ま)れる,,,naver,surface,山川の精気を受けて生まれる.,,,https://ja.dict.naver.com/#/search?query=%E7%94%9F%E3%81%BE%E3%82%8C%E3%82%8B
w_b44959bb47bfe991,N5,大勢,おおぜい,많이,example-headword-missing,match,N5,大ぜい·大勢,おおぜい,,,,,,naver,missing,客が大ぜい押しかける.,,많은 사람;여럿,https://ja.dict.naver.com/#/search?query=%E5%A4%A7%E5%8B%A2
w_4dd00aad4051c89d,N5,飲み物,のみもの,마실 것,naver-level-missing,naver_level_missing,,,,match,N5,飲(み)物,,,naver,surface,飲み物をご用意しましょうか?,,,https://ja.dict.naver.com/#/search?query=%E9%A3%B2%E3%81%BF%E7%89%A9
w_e1f8cbd438805e5e,N5,だんだん,だんだん,"점점, 점차",example-headword-missing,match,N5,段段,だんだん,,,,,,naver,missing,段段と夜が明けてくる,,차차;점점,https://ja.dict.naver.com/#/search?query=%E3%81%A0%E3%82%93%E3%81%A0%E3%82%93
w_2528221ac1c4f279,N5,入り口,いりぐち,입구,naver-level-missing,naver_level_missing,,,,match,N5,入(り)口,,,naver,surface,ロッククライミング場として知られる芦屋ロック・ガーデンの入り口,,,https://ja.dict.naver.com/#/search?query=%E5%85%A5%E3%82%8A%E5%8F%A3
w_3c9e0c4d130ffe55,N5,掛かる,かかる,"(시간·비용이) 들다, 걸리다",naver-level-missing,naver_level_missing,,,,match,N5,掛(か)る,,,naver,surface,気に掛かる,,,https://ja.dict.naver.com/#/search?query=%E6%8E%9B%E3%81%8B%E3%82%8B
w_3473a458725f217a,N5,交差点,こうさてん,교차로,naver-level-missing,naver_level_missing,,,,search_no_jlpt,,交差点·交叉点,,,naver,surface,次の交差点で降ろして[右折して]ください.,,,https://ja.dict.naver.com/#/search?query=%E4%BA%A4%E5%B7%AE%E7%82%B9
w_f12b7cd5ea51cf7a,N5,貼る,はる,붙이다,naver-level-missing;example-headword-missing,naver_level_missing,,,,search_no_jlpt,,貼る,,,naver,missing,ポスターを張る[はがす].,,,https://ja.dict.naver.com/#/search?query=%E8%B2%BC%E3%82%8B
w_a7aa783483eb1022,N5,曇り,くもり,흐림,naver-level-missing;level-mismatch-confirmed,naver_level_missing,,,,mismatch,N4,曇(り),,,naver,surface,秋の空は一点の曇りもなく晴れてうららかだった。,,,https://ja.dict.naver.com/#/search?query=%E6%9B%87%E3%82%8A
w_232fd4c69bca3059,N5,さす,さす,"(우산을) 쓰다, 받다",level-ambiguous;example-headword-missing,manual_review,N2,注す,さす,manual_review,N4,差す,,,naver,missing,雨傘を差す,,붓다;따르다;도장을 찍다;칠하다,https://ja.dict.naver.com/#/search?query=%E3%81%95%E3%81%99
w_728f59d1c6f9c5f4,N5,履く,はく,"(바지를) 입다, (신발·양말을) 신다",naver-level-missing;example-headword-missing,naver_level_missing,,,,search_no_jlpt,,履く,,,self,missing,出かける前に靴を履きます。,,,https://ja.dict.naver.com/#/search?query=%E5%B1%A5%E3%81%8F
w_25d246fcafff391e,N5,お手洗い,おてあらい,화장실,level-mismatch,mismatch,N4,お手洗い,%E3%81%8A%E3%81%A6%E3%81%82%E3%82%89%E3%81%84,search_no_jlpt,,お手洗い,,,naver,surface,お手洗いのタオルを使い捨てのペーパータオルに変更する,,화장실,https://ja.dict.naver.com/#/search?query=%E3%81%8A%E6%89%8B%E6%B4%97%E3%81%84
w_69c992c9db76a823,N5,叔父さん,おじさん,부모보다 나이가 어린 삼촌; 아저씨,naver-level-missing,naver_level_missing,,,,match,N5,伯父さん·叔父さん·小父さん,,,naver,surface,イ：ジス、今日は伯父さんの家に挨拶に行ったから、明日は叔父さんの家に行こう。,,,https://ja.dict.naver.com/#/search?query=%E5%8F%94%E7%88%B6%E3%81%95%E3%82%93
w_95504292f83e24e8,N5,閉まる,しまる,닫히다,naver-level-missing,naver_level_missing,,,,match,N5,閉(ま)る,,,naver,surface,窓ががちゃりと閉まる.,,,https://ja.dict.naver.com/#/search?query=%E9%96%89%E3%81%BE%E3%82%8B
w_bfd7b53f174d103d,N5,再来年,さらいねん,내후년,level-mismatch;level-mismatch-confirmed,mismatch,N4,再来年,%E3%81%95%E3%82%89%E3%81%84%E3%81%AD%E3%82%93,mismatch,N4,再来年,,,naver,surface,来年か再来年に結婚するつもりです.,,"다다음 해, 후년",https://ja.dict.naver.com/#/search?query=%E5%86%8D%E6%9D%A5%E5%B9%B4
w_946af014ad2b6ee1,N5,ご馳走様,ごちそうさま,잘 먹었습니다,naver-level-missing;level-mismatch-confirmed,naver_level_missing,,,,mismatch,N2,ご馳走様‧御馳走様,,,naver,reading,ロ：はい、ごちそうさまでした。,,,https://ja.dict.naver.com/#/search?query=%E3%81%94%E9%A6%B3%E8%B5%B0%E6%A7%98
w_27f194a34e98e0b0,N4,ゲーム,ゲーム,게임,level-ambiguous,manual_review,N2,,ゲーム,manual_review,N4,ゲーム,,,naver,surface,これ以上に糞ゲームってある？,,놀이. 유희;경기. 시합;계략. 전략,https://ja.dict.naver.com/#/search?query=%E3%82%B2%E3%83%BC%E3%83%A0
w_8aa654b726b3973b,N4,しまう,しまう,"치우다, 안에 넣다",example-headword-missing,match,N4,仕舞う·終う,しまう,,,,,,naver,missing,おもちゃを仕舞う,,파하다;끝나다;끝내다;마치다,https://ja.dict.naver.com/#/search?query=%E3%81%97%E3%81%BE%E3%81%86
w_aae7ac3f2729716f,N4,この頃,このごろ,"요즘, 최근; 요즈음",naver-level-missing,naver_level_missing,,,,match,N4,この頃·此の頃,,,naver,surface,この頃疲れていて会社によく遅刻する。,,,https://ja.dict.naver.com/#/search?query=%E3%81%93%E3%81%AE%E9%A0%83
w_e788698d1bb0ba86,N4,写真家,しゃしんか,사진가,naver-level-missing,naver_level_missing,,,,search_no_jlpt,,写真家,,,naver,surface,あの写真家は人が動く瞬間を早く捉えるスナップ写真で有名だった。,,,https://ja.dict.naver.com/#/search?query=%E5%86%99%E7%9C%9F%E5%AE%B6
w_c6b8fa6c4f3b37b1,N4,気持ち,きもち,"기분, 느낌",naver-level-missing,naver_level_missing,,,,match,N4,気持(ち),,,naver,surface,誇らしい気持ちになる,,,https://ja.dict.naver.com/#/search?query=%E6%B0%97%E6%8C%81%E3%81%A1
w_26b1c6419970fa60,N4,早く,はやく,"일찍, 빨리",naver-level-missing,naver_level_missing,,,,search_no_jlpt,,早く,,,naver,surface,朝早く目が覚める.,,,https://ja.dict.naver.com/#/search?query=%E6%97%A9%E3%81%8F
w_ba8a5ec7e21618b0,N4,確かに,たしかに,"분명히, 확실하게",naver-level-missing;naver-search-unmatched,naver_level_missing,,,,search_unmatched,,,,,naver,surface,確かに叫び声を聞いた,,,https://ja.dict.naver.com/#/search?query=%E7%A2%BA%E3%81%8B%E3%81%AB
w_20a6593be7f32866,N4,終わり,おわり,끝,naver-level-missing,naver_level_missing,,,,match,N4,終(わ)り,,,naver,surface,私の話はこれで終わりだ,,,https://ja.dict.naver.com/#/search?query=%E7%B5%82%E3%82%8F%E3%82%8A
w_a65dc597ed6e7ba0,N4,行う,おこなう,"행하다, 실시하다",naver-level-missing;level-mismatch-confirmed,naver_level_missing,,,,mismatch,N3,行(な)う,,,naver,surface,ネット心中を行う,,,https://ja.dict.naver.com/#/search?query=%E8%A1%8C%E3%81%86
w_82d2d40c223c0fc0,N4,中々,なかなか,"매우, 상당히, 꽤",naver-level-missing;naver-search-unmatched,naver_level_missing,,,,search_unmatched,,,,,naver,surface,将来的にエアピストルをやりたいので、ハンドライフルを始めましが、中々難しいです。,,,https://ja.dict.naver.com/#/search?query=%E4%B8%AD%E3%80%85
w_bb5fea9b072bbd3e,N4,答え,こたえ,"답, 대답",naver-level-missing,naver_level_missing,,,,match,N4,答(え),,,naver,surface,答えが返ってこない,,,https://ja.dict.naver.com/#/search?query=%E7%AD%94%E3%81%88
w_72dae8f988010901,N4,周り,まわり,주변,level-mismatch;level-mismatch-confirmed,mismatch,N3,周り·回り,%E3%81%BE%E3%82%8F%E3%82%8A,mismatch,N3,周り·回り,,,naver,surface,開発のため周りの景色が一変してしまった,,사물의 둘레;주위;주변,https://ja.dict.naver.com/#/search?query=%E5%91%A8%E3%82%8A
w_5b55a10a5d6814d6,N4,日本製,にほんせい,일본제(품),naver-level-missing;naver-search-unmatched,naver_level_missing,,,,search_unmatched,,,,,naver,surface,接着剤の材料に使われる日本製ポリビニール・アルコールが米国でダンピングされていると認められている,,,https://ja.dict.naver.com/#/search?query=%E6%97%A5%E6%9C%AC%E8%A3%BD
w_d4ee661eeb6fa516,N4,代わり,かわり,"대신, 대체",naver-level-missing,naver_level_missing,,,,match,N4,代(わ)り·替(わ)り·換(わ)り,,,naver,surface,印章の代わりにサインをする.,,,https://ja.dict.naver.com/#/search?query=%E4%BB%A3%E3%82%8F%E3%82%8A
w_ae771b4fd6bc8a90,N4,だめ,だめ,"쓸모없는, 좋지 않음, 가망 없는",example-headword-missing,match,N4,駄目,だめ,,,,,,naver,missing,機械が駄目になる,,"바둑의 공배;연극 따위에서, 연출상의 지시·주문;소용없음;효과가 없음",https://ja.dict.naver.com/#/search?query=%E3%81%A0%E3%82%81
w_3e81e925549791a4,N4,変わる,かわる,"바꾸다, 변하다, 변형되다, 다양하다",naver-level-missing,naver_level_missing,,,,match,N4,変(わ)る,,,naver,surface,気候が変わると植生も変わる,,,https://ja.dict.naver.com/#/search?query=%E5%A4%89%E3%82%8F%E3%82%8B
w_e12f8a407f734e3c,N4,一杯,いっぱい,"가득 찬, 최대한의",level-ambiguous,manual_review,N4,一杯,いっぱい,manual_review,N5,一杯,,,naver,surface,ロ：うん。私はごみで一杯になったゴミ箱から空にするね。,,가득;있는 한도를 다하는 모양;…껏,https://ja.dict.naver.com/#/search?query=%E4%B8%80%E6%9D%AF
w_2e1c725abcc5c203,N4,終わる,おわる,끝나다,naver-level-missing;level-mismatch-confirmed,naver_level_missing,,,,mismatch,N5,終(わ)る,,,naver,surface,スコアレスドローで終わる,,,https://ja.dict.naver.com/#/search?query=%E7%B5%82%E3%82%8F%E3%82%8B
w_e431b1a6abf799bf,N4,お互い,おたがい,"서로, 상호",level-mismatch;level-mismatch-confirmed,mismatch,N3,お互い,%E3%81%8A%E3%81%9F%E3%81%8C%E3%81%84,mismatch,N3,お互い,,,naver,surface,イ：お互い信じて支え合い、生きていくことを願います。,,"서로, 상호간",https://ja.dict.naver.com/#/search?query=%E3%81%8A%E4%BA%92%E3%81%84
w_9965df3c9edf91a3,N4,始まる,はじまる,시작되다,naver-level-missing;level-mismatch-confirmed,naver_level_missing,,,,mismatch,N5,始まる,,,naver,surface,鰹船の出港が始まる,,,https://ja.dict.naver.com/#/search?query=%E5%A7%8B%E3%81%BE%E3%82%8B
w_3fb531f80eb37d45,N4,お祭り,おまつり,축제,naver-level-missing,naver_level_missing,,,,match,N4,お祭り·御祭り,,,naver,surface,お祭り気分に浮かれている.,,,https://ja.dict.naver.com/#/search?query=%E3%81%8A%E7%A5%AD%E3%82%8A
w_98601c5f9fe56540,N4,うまい,うまい,"(1) 맛있다, (2) 능숙하다",level-ambiguous,manual_review,N2,上手い·巧い,うまい,manual_review,N4,旨い·甘い·美味い·上手い·巧い,,,naver,surface,初めての挑戦ですが、1ラウンドと2ラウンドチャンピオンがうまいです。,,솜씨가 뛰어나다;좋다;잘하다,https://ja.dict.naver.com/#/search?query=%E3%81%86%E3%81%BE%E3%81%84
w_8794ea0733093080,N4,びっくりする,びっくりする,놀라다,naver-level-missing;spelling-kana-not-in-jmdict;naver-search-unmatched,naver_level_missing,,,,search_unmatched,,,kana-not-in-jmdict,kana form absent from JMdict readings,naver,surface,身がすくむほどびっくりする.,,,https://ja.dict.naver.com/#/search?query=%E3%81%B3%E3%81%A3%E3%81%8F%E3%82%8A%E3%81%99%E3%82%8B
w_17ea17f7f7fd6d2b,N4,落ちる,おちる,"떨어지다, 떨어뜨리다",example-headword-missing,match,N4,落ちる·墜ちる,おちる,,,,,,naver,missing,瞼が落る。,,떨어지다;낙하하다;내리다;오다,https://ja.dict.naver.com/#/search?query=%E8%90%BD%E3%81%A1%E3%82%8B
w_98c5ecbe9b1af8f0,N4,ひげ,ひげ,수염,level-ambiguous,manual_review,N3,卑下,ひげ,manual_review,N4,髭·鬚·髯,,,self,surface,父は毎朝ひげをそります。,,비하;스스로를 낮춤;겸비,https://ja.dict.naver.com/#/search?query=%E3%81%B2%E3%81%92
w_bd712479a72069fd,N4,ご主人,ごしゅじん,남편(당신의 그녀의),naver-level-missing;naver-search-unmatched,naver_level_missing,,,,search_unmatched,,,,,naver,surface,長男のＫ君が着ていたオーバーオールも，ご主人のチノパンツをリフォームしたもの,,,https://ja.dict.naver.com/#/search?query=%E3%81%94%E4%B8%BB%E4%BA%BA
w_593dc0421f4fe2a6,N4,起こす,おこす,"일어나다, 깨다(누군가)",naver-level-missing,naver_level_missing,,,,match,N4,起(こ)す,,,naver,surface,敷石を起こす,,,https://ja.dict.naver.com/#/search?query=%E8%B5%B7%E3%81%93%E3%81%99
w_f84013f3855be75b,N4,踊り,おどり,춤,naver-level-missing,naver_level_missing,,,,match,N4,踊り·躍り,,,naver,surface,歌と踊りに鳴り物が加わる.,,,https://ja.dict.naver.com/#/search?query=%E8%B8%8A%E3%82%8A
w_377825a40acb43c0,N4,聞こえる,きこえる,들리다,naver-level-missing,naver_level_missing,,,,match,N4,聞(こ)える,,,naver,surface,草むらから虫の音が聞こえる.,,,https://ja.dict.naver.com/#/search?query=%E8%81%9E%E3%81%93%E3%81%88%E3%82%8B
w_0bfe4152b243c799,N4,落とす,おとす,"떨어뜨리다, 잃다",naver-level-missing,naver_level_missing,,,,match,N4,落(と)す,,,naver,surface,栗の実を揺り落とす,,,https://ja.dict.naver.com/#/search?query=%E8%90%BD%E3%81%A8%E3%81%99
w_66c87676a778f34f,N4,おや,おや,어라!,level-ambiguous;example-headword-missing,manual_review,N2,親,おや,manual_review,N4,おや,,,naver,missing,親に死なれる,,어버이;부모;선조;원조;사물의 근본,https://ja.dict.naver.com/#/search?query=%E3%81%8A%E3%82%84
w_c510d4ba666ff0d0,N4,見つかる,みつかる,발견되다,naver-level-missing,naver_level_missing,,,,match,N4,見つかる·見付かる,,,naver,surface,遺構から多くの銅鐸が見つかる.,,,https://ja.dict.naver.com/#/search?query=%E8%A6%8B%E3%81%A4%E3%81%8B%E3%82%8B
w_06c3d7fabba14770,N4,お土産,おみやげ,가족이나 친지에게 선물할 목적으로 여행지에서 사 오는 그 지방의 특산 물이나 지인의 집을 방문할 때 고마 움을 표하려고 가지고 가는 물건,naver-level-missing;level-mismatch-confirmed,naver_level_missing,,,,mismatch,N3,お土産∙御土産,,,naver,surface,現地のお土産を買い忘れた,,,https://ja.dict.naver.com/#/search?query=%E3%81%8A%E5%9C%9F%E7%94%A3
w_ec8e542da036aeea,N4,一軒,いっけん,"한 채, 한 동(집을 세는 단위)",naver-level-missing,naver_level_missing,,,,search_no_jlpt,,一軒,,,self,surface,駅の近くに小さな店が一軒あります。,,,https://ja.dict.naver.com/#/search?query=%E4%B8%80%E8%BB%92
w_4414661a2b5d631d,N4,贈り物,おくりもの,선물,naver-level-missing,naver_level_missing,,,,search_no_jlpt,,贈り物,,,naver,surface,上役の家に贈り物を届ける.,,,https://ja.dict.naver.com/#/search?query=%E8%B4%88%E3%82%8A%E7%89%A9
w_16a8437b706000b6,N4,運ぶ,はこぶ,운반하다,example-headword-missing,match,N4,運ぶ,はこぶ,,,,,,naver,missing,早くここへ運ばっし,,운반하다;옮기다;진행시키다;추진하다;진척되다,https://ja.dict.naver.com/#/search?query=%E9%81%8B%E3%81%B6
w_a9c3e6ac32a1315a,N4,決まる,きまる,정해지다,naver-level-missing,naver_level_missing,,,,match,N4,決(ま)る·極る,,,naver,surface,この一戦で運命が決まる.,,,https://ja.dict.naver.com/#/search?query=%E6%B1%BA%E3%81%BE%E3%82%8B
w_ac4a28f37332b6a0,N4,止まる,とまる,멈추다,level-mismatch;catalog-mismatch-search-match,mismatch,N2,止まる·留まる·停まる,とどまる,match,N4,止(ま)る·停まる,,,naver,surface,心臓の鼓動が止まる.,,움직이지 않다;머물다;체재하다;머무르다;뒤에 남다,https://ja.dict.naver.com/#/search?query=%E6%AD%A2%E3%81%BE%E3%82%8B
w_a73aed42cd32a397,N4,引き出し,ひきだし,서랍,naver-level-missing,naver_level_missing,,,,match,N4,引(き)出し·抽き出し,,,naver,surface,引き出しを開けっ放しにする,,,https://ja.dict.naver.com/#/search?query=%E5%BC%95%E3%81%8D%E5%87%BA%E3%81%97
w_9c2d3700794d4e08,N4,昨夜,ゆうべ,어젯밤,example-headword-missing,match,N4,昨夜,ゆうべ,,,,,,naver,missing,夕べの火事で村が灰の山と化した.,,어제 저녁;어젯밤,https://ja.dict.naver.com/#/search?query=%E6%98%A8%E5%A4%9C
w_7bbc01295f752849,N4,ごみ,ごみ,쓰레기,level-ambiguous,manual_review,N3,五味,ごみ,manual_review,N4,塵·芥·埃,,,naver,surface,ごみの捨て所がない.,,오미,https://ja.dict.naver.com/#/search?query=%E3%81%94%E3%81%BF
w_a8e0c824516c8044,N4,乗り物,のりもの,탈것,naver-level-missing,naver_level_missing,,,,search_no_jlpt,,乗り物,,,naver,surface,天気はよかったというものの乗り物でひどい目にあった.,,,https://ja.dict.naver.com/#/search?query=%E4%B9%97%E3%82%8A%E7%89%A9
w_05fd1eca6f1886bd,N4,祝う,いわう,축하하다,example-headword-missing,match,N4,祝う,いわう,,,,,,naver,missing,祝の品品,,축하하다;축복하다;축복의 선물을 하다;행운을 기원하다,https://ja.dict.naver.com/#/search?query=%E7%A5%9D%E3%81%86
w_6fcafb10964dff68,N4,売り場,うりば,"매장, 판매장",naver-level-missing,naver_level_missing,,,,match,N4,売(り)場,,,naver,surface,売り場の商品が冬物から春物に入れ替わった,,,https://ja.dict.naver.com/#/search?query=%E5%A3%B2%E3%82%8A%E5%A0%B4
w_1e72aa50becbc835,N4,ご存じ,ごぞんじ,"아심, 알고 계심",naver-level-missing,naver_level_missing,,,,match,N4,御存じ·御存知,,,naver,surface,この花の名前をご存じでしたら教えてください,,,https://ja.dict.naver.com/#/search?query=%E3%81%94%E5%AD%98%E3%81%98
w_a81ed89f2576bc17,N4,噛む,かむ,씹다,naver-level-missing,naver_level_missing,,,,match,N4,噛む·嚙む·咬む·嚼む,,,naver,surface,噛めば噛むほど旨みがでる,,,https://ja.dict.naver.com/#/search?query=%E5%99%9B%E3%82%80
w_bb26b4219e1e1215,N4,泊まる,とまる,"묵다, 숙박하다",naver-level-missing,naver_level_missing,,,,match,N4,泊(ま)る,,,naver,surface,駅前の旅館に泊まる,,,https://ja.dict.naver.com/#/search?query=%E6%B3%8A%E3%81%BE%E3%82%8B
w_de2f393da5970f45,N4,引っ越す,ひっこす,이사하다,naver-level-missing,naver_level_missing,,,,match,N4,引っ越す,,,naver,surface,東京に引っ越す,,,https://ja.dict.naver.com/#/search?query=%E5%BC%95%E3%81%A3%E8%B6%8A%E3%81%99
w_14a67e82973f6a3b,N4,乗り換える,のりかえる,갈아타다,naver-level-missing,naver_level_missing,,,,match,N4,乗(り)換える·乗(り)替える,,,naver,surface,次の駅で乗り換える,,,https://ja.dict.naver.com/#/search?query=%E4%B9%97%E3%82%8A%E6%8F%9B%E3%81%88%E3%82%8B
