id,level,surface,reading_kana,meaning_ko,review_decision,review_surface,review_reading_kana,review_meaning_ko,merge_winner_id,review_reason,review_status,attention,surface_class,jmdict_exact_kind,flags,same_jmdict_entry_ids,same_reading_meaning_ids,prior_audit_decision,source,example_jp
w_494f224e459f607c,N2,手ごろ,てごろ,"알맞다, 적당하다",merge,手頃,てごろ,"알맞다, 적당하다",w_5306465650e71486,한자·가나 표기만 다른 동일 표제어,manually-adjudicated,high,kanji-hiragana,kanji-form,mixed-has-more-kanji-variant;same-jmdict-entry-duplicate,w_5306465650e71486,,,kaggle:robinpourtaud/jlpt-words-by-level,値段と言い内容と言い手ごろだ.
w_be4b3560c276b748,N2,懐かし,なつかしい,그립다,merge,懐かしい,なつかしい,그립다,w_568660177b238b65,어미가 잘린 표제어를 정상 형용사와 통합,manually-adjudicated,high,kanji-hiragana,none,non-jmdict-surface;surface-reading-mismatch;near-jmdict-spelling;single-jmdict-kanji-candidate;same-reading-meaning-duplicate,,w_568660177b238b65,,pdf:mkt_n2,過ぎた日が今更のように懐かしい.
w_6c4c847c16982fb1,N2,話し掛ける,はなしかける,말을 걸다,merge,話し掛ける,はなしかける,말을 걸다,w_1138a558fc818ae2,레벨 간 동일 표제어 중복,manually-adjudicated,high,kanji-hiragana,kanji-form,same-jmdict-entry-duplicate;same-reading-meaning-duplicate,w_1138a558fc818ae2,w_1138a558fc818ae2,,kaggle:robinpourtaud/jlpt-words-by-level,隣席の人に話しかける.
w_890b93fece49c035,N2,間も無く,まもなく,"머지않아, 곧",merge,間もなく,まもなく,"머지않아, 곧",w_00c99649445717dd,보조 형용사 無く의 관용 표기 중복,manually-adjudicated,high,kanji-hiragana,kanji-form,same-jmdict-entry-duplicate;same-reading-meaning-duplicate,w_00c99649445717dd,w_00c99649445717dd,,kaggle:robinpourtaud/jlpt-words-by-level,間も無く冬が遣って来る
w_41f80514da34307e,N2,呼び掛ける,よびかける,"호소하다, 말을 걸다",merge,呼び掛ける,よびかける,"호소하다, 말을 걸다",w_2a78a365c1e9575b,레벨 간 동일 표제어 중복,manually-adjudicated,high,kanji-hiragana,kanji-form,same-jmdict-entry-duplicate,w_2a78a365c1e9575b,,,kaggle:robinpourtaud/jlpt-words-by-level,各地の駅前などで，キャンペーン・レディーが市民に投票を呼び掛ける
w_f098e0ab483c71c1,N5,火曜日,かようび,화요일,merge,火曜日,かようび,화요일,w_245d63ae14dc7240,요일 표기 교정 후 생기는 동일 표제어,manually-adjudicated,medium,kanji,kanji-form,same-reading-meaning-duplicate,,w_245d63ae14dc7240,,kaggle:robinpourtaud/jlpt-words-by-level;orthography-backfill,うちの洞はリサイクル製品を捨てる日が火曜日である。
w_60d7f086f59b73e0,N5,金曜日,きんようび,금요일,merge,金曜日,きんようび,금요일,w_2cd841d468cc927a,요일 표기 교정 후 생기는 동일 표제어,manually-adjudicated,medium,kanji,kanji-form,same-reading-meaning-duplicate,,w_2cd841d468cc927a,,kaggle:robinpourtaud/jlpt-words-by-level;orthography-backfill,学会は金曜日と土曜日の2日間にかけて開催された。
w_f5b6029d9b208c0f,N5,子供,こども,아이,merge,子供,こども,아이,w_26913edea9440b3b,子ども/子供 표기 중복,manually-adjudicated,high,kanji,kanji-form,same-jmdict-entry-duplicate,w_26913edea9440b3b,,,kaggle:robinpourtaud/jlpt-words-by-level,子供も子供だが、親も親だ
w_b911d6ff59c309dd,N5,友達,ともだち,친구,merge,友達,ともだち,친구,w_053f7db9e9a81e55,友だち/友達 표기 중복,manually-adjudicated,high,kanji,kanji-form,same-jmdict-entry-duplicate;same-reading-meaning-duplicate,w_053f7db9e9a81e55,w_053f7db9e9a81e55,,kaggle:robinpourtaud/jlpt-words-by-level,友達の家に入浸りだ
w_9ab1e43c1a5da994,N1,受身,うけみ,"수동적인, 수동적인 목소리",replace,受け身,うけみ,"수동적인, 수동적인 목소리",,현대 일반 표기로 교정,manually-adjudicated,none,kanji,kanji-form,,,,,kaggle:robinpourtaud/jlpt-words-by-level,受身の形にする
w_99d5ab94af6fd5e5,N1,落葉,おちば,낙엽,replace,落ち葉,おちば,낙엽,,읽기 おちば에 맞는 표준 표기로 교정,manually-adjudicated,none,kanji,kanji-form,,,,,kaggle:robinpourtaud/jlpt-words-by-level,カツラの木は他の木よりも早く落葉が落ちる。
w_b87f291dcfcaefd7,N1,仕掛,しかけ,"장치, 장치된 것",replace,仕掛け,しかけ,"장치, 장치된 것",,명사 표준 오쿠리가나로 교정,manually-adjudicated,none,kanji,kanji-form,,,,,kaggle:robinpourtaud/jlpt-words-by-level,この器具は簡単な仕掛だ
w_2a768ef5dc0abdb7,N1,蛋白質,たんぱくしつ,단백질,replace,タンパク質,たんぱくしつ,단백질,,현대 일반 표기 사용,manually-adjudicated,none,kanji,kanji-form,,,,,kaggle:robinpourtaud/jlpt-words-by-level,核 たんぱく質は細胞内の核酸と蛋白質の複合体である
w_19b870ba56899b62,N1,打診,だじん,타진,replace,打診,だしん,타진,,打診의 사전 읽기로 교정,manually-adjudicated,high,kanji,none,non-jmdict-surface;surface-reading-mismatch,,,,pdf:pass_n1,触診と打診を並行する.
w_2a2702f1f74ccfdc,N1,手足まとい,てあしまとい,"방해, 훼방, 걸림돌",replace,足手まとい,あしでまとい,"방해, 훼방, 걸림돌",,PDF 오기를 사전 표제어 足手まとい로 교정,manually-adjudicated,high,kanji-hiragana,none,non-jmdict-surface,,,,pdf:pass_n1,経験のない私では、かえって手足まといになる。
w_abc611c14f035fc6,N1,手がかり,てがかり,"단서, 실마리",replace,手掛かり,てがかり,"단서, 실마리",,사전 우선 표기이며 학습에 유용한 한자를 표시,manually-adjudicated,medium,kanji-hiragana,kanji-form,mixed-has-more-kanji-variant,,,,pdf:pass_n1,解決の手がかりを求める
w_67e9a28d0777853f,N1,戸締り,とじまり,문단속,replace,戸締まり,とじまり,문단속,,표준 오쿠리가나로 교정,manually-adjudicated,none,kanji-hiragana,kanji-form,,,,,kaggle:robinpourtaud/jlpt-words-by-level,ロ：はい。戸締りをちゃんとします。
w_53f5a11a43999634,N1,取扱,とりあつかい,"취급, 다룸",replace,取り扱い,とりあつかい,"취급, 다룸",,명사 표준 오쿠리가나로 교정,manually-adjudicated,none,kanji,kanji-form,,,,,kaggle:robinpourtaud/jlpt-words-by-level,ロ：傷みやすい食べ物の取扱に格別の注意が必要です。
w_4a507c2b9903c25a,N1,取締り,とりしまり,"단속, 감독",replace,取り締まり,とりしまり,"단속, 감독",,명사 표준 오쿠리가나로 교정,manually-adjudicated,none,kanji-hiragana,kanji-form,,,,,kaggle:robinpourtaud/jlpt-words-by-level,警察の取締りが緩くなると、さまざまな犯罪が再び頭をもたげ始めた。
w_e231cd88a2b8f92c,N1,生温い,なまぬるい,"미지근하다, 어중간하다",replace,生ぬるい,なまぬるい,"미지근하다, 어중간하다",,현대 일반 혼용 표기 사용,manually-adjudicated,none,kanji-hiragana,kanji-form,,,,,kaggle:robinpourtaud/jlpt-words-by-level,生温い処置がもどかしい
w_8b805c96245bb577,N1,濫用,らんよう,남용,replace,乱用,らんよう,남용,,현대 일반 표기 사용,manually-adjudicated,none,kanji,kanji-form,,,,,pdf:mkt_n1,官権を濫用する
w_8ff22e997b700b80,N2,受取,うけとり,"수령, 영수증",replace,受け取り,うけとり,"수령, 영수증",,명사 표준 오쿠리가나로 교정,manually-adjudicated,none,kanji,kanji-form,,,,,kaggle:robinpourtaud/jlpt-words-by-level,家賃をはらって受取をもらう
w_dcf81ee7c767ed7f,N2,売上,うりあげ,매상,replace,売り上げ,うりあげ,매상,,명사 표준 오쿠리가나로 교정,manually-adjudicated,none,kanji,kanji-form,,,,,pdf:mkt_n2,売上の勘定を合わせる
w_6be80965290001db,N2,大雑把,おおざっぱ,"대략적인, 엉성한",replace,大ざっぱ,おおざっぱ,"대략적인, 엉성한",,현대 일반 혼용 표기 사용,manually-adjudicated,none,kanji,kanji-form,,,,example-exact,kaggle:robinpourtaud/jlpt-words-by-level,大雑把な見積り
w_157443e88683e1c9,N2,係る,かかわる,"관련되다,관여하다",replace,関わる,かかわる,"관련되다,관여하다",,검색 전용 표기 係る를 현대 일반 표기로 교정,manually-adjudicated,high,kanji-hiragana,kanji-form,same-jmdict-entry-duplicate,w_5a4260a855090d55,,,pdf:mkt_n2,SPMに係る対策が急がれる
w_295d47ac323c9139,N2,ご苦労様,ごくろうさま,수고하셨습니다,replace,ご苦労さま,ごくろうさま,수고하셨습니다,,접미 호칭의 현대 일반 표기 사용,manually-adjudicated,medium,kanji-hiragana,kanji-form,mixed-has-more-kanji-variant,,,,kaggle:robinpourtaud/jlpt-words-by-level,ロ：全て日本語に変えたんですね。ご苦労様でした。
w_f619074e36479304,N2,御覧,ごらん,보심(존경어),replace,ご覧,ごらん,보심(존경어),,현대 일반 혼용 표기 사용,manually-adjudicated,none,kanji,kanji-form,,,,,kaggle:robinpourtaud/jlpt-words-by-level,親しく手に取って御覧になる
w_dc9e68a1700899e0,N2,先ほど,さきほど,"아까,먼저",replace,先程,さきほど,"아까,먼저",,동일 표제어 중 학습용 한자 표기로 통일,manually-adjudicated,high,kanji-hiragana,kanji-form,mixed-has-more-kanji-variant;same-jmdict-entry-duplicate,w_1854d01ccebf9b55,,,pdf:mkt_n2,ロ：先ほど入れましたが、温度をもっとあげますね。
w_8065e96840fda82b,N2,捕える,とらえる,"붙잡다, 포착하다, 체포하다",replace,捕らえる,とらえる,"붙잡다, 포착하다, 체포하다",,현대 일반 오쿠리가나로 교정,manually-adjudicated,none,kanji-hiragana,kanji-form,,,,,kaggle:robinpourtaud/jlpt-words-by-level,手回しをして犯人を捕える
w_2042955fbd7ed6b5,N2,話中,はなしちゅう,통화 중,replace,話し中,はなしちゅう,통화 중,,명사 연결의 표준 오쿠리가나로 교정,manually-adjudicated,none,kanji,kanji-form,,,,,kaggle:robinpourtaud/jlpt-words-by-level,話中に電話が切れた
w_a66198a344df39a0,N2,引算,ひきざん,뺄셈,replace,引き算,ひきざん,뺄셈,,표준 오쿠리가나로 교정,manually-adjudicated,none,kanji,kanji-form,,,,,kaggle:robinpourtaud/jlpt-words-by-level,引算の答えをノートに書いた。
w_22b57ca13e715d81,N2,振舞う,ふるまう,"행동하다, 대접하다",replace,振る舞う,ふるまう,"행동하다, 대접하다",,현대 일반 오쿠리가나로 교정,manually-adjudicated,none,kanji-hiragana,kanji-form,,,,,kaggle:robinpourtaud/jlpt-words-by-level,母は私にどこへ行っても、行儀よく振舞うよう言った。
w_2c3933bd8ef5180a,N2,見い出す,みいだす,"찾아내다,발견하다",replace,見出す,みいだす,"찾아내다,발견하다",,불규칙 오쿠리가나 見い出す를 표준형으로 교정,manually-adjudicated,none,kanji-hiragana,kanji-form,,,,,pdf:mkt_n2,終焉の地を見い出す
w_0014ac027b7eefb9,N2,見掛け,みかけ,"겉모습, 외관",replace,見かけ,みかけ,"겉모습, 외관",,명사 みかけ의 현대 일반 표기 사용,manually-adjudicated,none,kanji-hiragana,kanji-form,,,,,kaggle:robinpourtaud/jlpt-words-by-level,人は見掛けによらない
w_e4c9461baa503259,N2,目覚し,めざまし,"자명종, 알람",replace,目覚まし,めざまし,"자명종, 알람",,표준 오쿠리가나로 교정,manually-adjudicated,none,kanji-hiragana,kanji-form,,,,,kaggle:robinpourtaud/jlpt-words-by-level,目覚しを六時にセットして寝た。
w_1138a558fc818ae2,N3,話しかける,はなしかける,말을 걸다,replace,話し掛ける,はなしかける,말을 걸다,,중복을 하나로 합치면서 학습용 한자 표기를 유지,manually-adjudicated,high,kanji-hiragana,kanji-form,mixed-has-more-kanji-variant;same-jmdict-entry-duplicate;same-reading-meaning-duplicate,w_6c4c847c16982fb1,w_6c4c847c16982fb1,,pdf:pass_n3,隣席の人に話しかける.
w_2a78a365c1e9575b,N3,呼びかける,よびかける,"호소하다,당부하다",replace,呼び掛ける,よびかける,"호소하다,당부하다",,사전 우선 표기이며 학습에 유용한 한자를 표시,manually-adjudicated,high,kanji-hiragana,kanji-form,mixed-has-more-kanji-variant;same-jmdict-entry-duplicate,w_41f80514da34307e,,,pdf:mkt_n3;pass_n3,振り込め詐欺の被害に遭いそうなお年寄りらに電話し、注意を呼びかける
w_ec8e542da036aeea,N4,1軒,いっけん,"한 채, 한 동(집을 세는 단위)",replace,一軒,いっけん,"한 채, 한 동(집을 세는 단위)",,숫자 혼용 표기를 일본어 한자 표기로 통일,manually-adjudicated,high,kanji,none,non-jmdict-surface,,,,pdf:pass_n4,イ：田舎で家を1軒建てたいと思っていますが、どこが良いでしょうか？
w_0bfe4152b243c799,N4,落す,おとす,"떨어뜨리다, 잃다",replace,落とす,おとす,"떨어뜨리다, 잃다",,표준 오쿠리가나로 교정,manually-adjudicated,none,kanji-hiragana,kanji-form,,,,,kaggle:robinpourtaud/jlpt-words-by-level,栗の実を揺り落す
w_bb5fea9b072bbd3e,N4,答,こたえ,"답, 대답",replace,答え,こたえ,"답, 대답",,명사 こたえ의 표준 오쿠리가나로 교정,manually-adjudicated,none,kanji,kanji-form,,,,,kaggle:robinpourtaud/jlpt-words-by-level,答えが返ってこない
w_9494eebc5e3647b8,N4,舟,ふね,배,replace,船,ふね,배,,현대 일반 표기 사용,manually-adjudicated,none,kanji,kanji-form,,,,,kaggle:robinpourtaud/jlpt-words-by-level,舟は波間を漂った.
w_245d63ae14dc7240,N5,火よう日,かようび,화요일,replace,火曜日,かようび,화요일,,혼용 표기를 완전한 요일 한자로 교정,manually-adjudicated,high,kanji-hiragana,none,non-jmdict-surface;mixed-has-more-kanji-variant;single-jmdict-kanji-candidate;same-reading-meaning-duplicate,,w_f098e0ab483c71c1,,pdf:pass_n5,うちの洞はリサイクル製品を捨てる日が火曜日である。
w_2cd841d468cc927a,N5,金よう日,きんようび,금요일,replace,金曜日,きんようび,금요일,,혼용 표기를 완전한 요일 한자로 교정,manually-adjudicated,high,kanji-hiragana,none,non-jmdict-surface;mixed-has-more-kanji-variant;single-jmdict-kanji-candidate;same-reading-meaning-duplicate,,w_60d7f086f59b73e0,,pdf:pass_n5,今日は金曜日で十日だ
w_26913edea9440b3b,N5,子ども,こども,"아이, 어린이",replace,子供,こども,"아이, 어린이",,통용·공용 한자 표기로 통일,manually-adjudicated,high,kanji-hiragana,kanji-form,mixed-has-more-kanji-variant;same-jmdict-entry-duplicate,w_f5b6029d9b208c0f,,,pdf:pass_n5,子どもにでも出来る
w_58ebca3b2291ffb6,N5,石けん,せっけん,비누,replace,石鹸,せっけん,비누,,학습 표제어에서 통용 한자 표기를 명시,manually-adjudicated,medium,kanji-hiragana,kanji-form,mixed-has-more-kanji-variant,,,example-exact,pdf:pass_n5,リキッドタイプの石けん
w_053f7db9e9a81e55,N5,友だち,ともだち,친구,replace,友達,ともだち,친구,,현재 상용한자표 부표에 따른 표준 한자 표기로 통일,manually-adjudicated,high,kanji-hiragana,kanji-form,mixed-has-more-kanji-variant;same-jmdict-entry-duplicate;same-reading-meaning-duplicate,w_b911d6ff59c309dd,w_b911d6ff59c309dd,,pdf:pass_n5,友だちをたぶらかして金を出させる.
w_078c37ed2c920c51,N5,土よう日,どようび,토요일,replace,土曜日,どようび,토요일,,혼용 표기를 완전한 요일 한자로 교정,manually-adjudicated,high,kanji-hiragana,none,non-jmdict-surface;mixed-has-more-kanji-variant;single-jmdict-kanji-candidate,,,,pdf:pass_n5,土曜日は‘家庭の日’.
w_728f59d1c6f9c5f4,N5,穿く,はく,"(바지를) 입다, (신발·양말을) 신다",replace,履く,はく,"(바지를) 입다, (신발·양말을) 신다",,N5 기본어의 대표 표기와 사전 우선 표기 사용,manually-adjudicated,none,kanji-hiragana,kanji-form,,,,example-exact,pdf:pass_n5,ズボンを穿く
w_716e7b794dbcaf51,N5,木よう日,もくようび,목요일,replace,木曜日,もくようび,목요일,,혼용 표기를 완전한 요일 한자로 교정,manually-adjudicated,high,kanji-hiragana,none,non-jmdict-surface;mixed-has-more-kanji-variant;single-jmdict-kanji-candidate,,,,pdf:pass_n5,木よう日にびょういんへいきます。
w_ad855f3ec592f3c8,N1,粗い,あらい,거칠다,meaning-update,粗い,あらい,"입자·짜임이 거칠다, 성기다",,荒い와 용법 구분,manually-adjudicated,medium,kanji-hiragana,kanji-form,same-reading-meaning-duplicate,,w_ffbffe59a26904d3,,pdf:pass_n1,この布地は織り目が粗い.
w_c849a3f0fc65ee8e,N1,成育,せいいく,"생육, 성장",meaning-update,成育,せいいく,성장하여 자람,,生育와 구분,manually-adjudicated,medium,kanji,kanji-form,same-reading-meaning-duplicate,,w_6790384d17755893,,kaggle:robinpourtaud/jlpt-words-by-level,母は子供たちの成育のためなら、どんな困難も耐えることができた。
w_6790384d17755893,N1,生育,せいいく,"생육, 성장",meaning-update,生育,せいいく,"생육, 생물이 자람",,成育와 구분,manually-adjudicated,medium,kanji,kanji-form,same-reading-meaning-duplicate,,w_c849a3f0fc65ee8e,,kaggle:robinpourtaud/jlpt-words-by-level,生育の悪い木を選伐する
w_a79d251aabe4dbff,N1,正当,せいとう,정당,meaning-update,正当,せいとう,"정당함, 올바름",,政党과 한국어 동음어 구분,manually-adjudicated,medium,kanji,kanji-form,same-reading-meaning-duplicate,,w_b76b29ffb14e7358,,pdf:pass_n1,彼の提案は正当だ.
w_47be56537c24560e,N1,代弁,だいべん,대변,meaning-update,代弁,だいべん,"대신 말함, 대변",,大便과 한국어 동음어 구분,manually-adjudicated,medium,kanji,kanji-form,same-reading-meaning-duplicate,,w_860e76f83693f071,,kaggle:robinpourtaud/jlpt-words-by-level,損害を代弁する.
w_860e76f83693f071,N1,大便,だいべん,대변,meaning-update,大便,だいべん,"대변, 똥",,代弁과 한국어 동음어 구분,manually-adjudicated,medium,kanji,kanji-form,same-reading-meaning-duplicate,,w_47be56537c24560e,,kaggle:robinpourtaud/jlpt-words-by-level,イ：自分も知らないうちに下着に大便がつきます。
w_7ea20007b10fcf12,N1,作り,つくり,"만듦새, 구조; 체격",meaning-update,作り,つくり,"만듦, 제작 방식; 구조",,造り와 용법 구분,manually-adjudicated,high,kanji-hiragana,kanji-form,same-jmdict-entry-duplicate;same-reading-meaning-duplicate,w_5be62d71deeeebf2,w_5be62d71deeeebf2,,kaggle:robinpourtaud/jlpt-words-by-level,スカーフの結び方やコサージ作りを覚えれば，同じ服も見違える
w_5be62d71deeeebf2,N1,造り,つくり,"만듦새, 구조; 체격",meaning-update,造り,つくり,건축물·제품의 만듦새; 구조,,作り와 용법 구분,manually-adjudicated,high,kanji-hiragana,kanji-form,same-jmdict-entry-duplicate;same-reading-meaning-duplicate,w_7ea20007b10fcf12,w_7ea20007b10fcf12,,kaggle:robinpourtaud/jlpt-words-by-level,造りがしっかりしている家
w_9da5d3e318f2c437,N1,股,もも,"넓적다리, 허벅지",meaning-update,股,もも,"사타구니, 허벅지 안쪽",,腿와 구분,manually-adjudicated,high,kanji,kanji-form,same-jmdict-entry-duplicate,w_fac30bc019ff0119,,,kaggle:robinpourtaud/jlpt-words-by-level,股の筋肉を鍛える
w_fac30bc019ff0119,N1,腿,もも,넓적다리,meaning-update,腿,もも,"허벅지, 넓적다리",,股와 구분,manually-adjudicated,high,kanji,kanji-form,same-jmdict-entry-duplicate,w_9da5d3e318f2c437,,,kaggle:robinpourtaud/jlpt-words-by-level,腿から腰の位置に後ろに伸ばした足を当てて支点にする。
w_ffbffe59a26904d3,N2,荒い,あらい,거칠다,meaning-update,荒い,あらい,행동·말투·파도 등이 거칠다,,粗い와 용법 구분,manually-adjudicated,medium,kanji-hiragana,kanji-form,same-reading-meaning-duplicate,,w_ad855f3ec592f3c8,,pdf:mkt_n2,気がちょっと荒い方である.
w_2442f06ad4b1e2c1,N2,炒る,いる,"굽다, 볶다",meaning-update,炒る,いる,재료를 불에 볶다,,煎る와 용법 구분,manually-adjudicated,high,kanji-hiragana,kanji-form,same-jmdict-entry-duplicate;same-reading-meaning-duplicate,w_a02732cc17e7d4fd,w_a02732cc17e7d4fd,,kaggle:robinpourtaud/jlpt-words-by-level,豆をかき回しながら炒る.
w_a02732cc17e7d4fd,N2,煎る,いる,"굽다, 볶다",meaning-update,煎る,いる,콩·차 등을 볶다,,炒る와 용법 구분,manually-adjudicated,high,kanji-hiragana,kanji-form,same-jmdict-entry-duplicate;same-reading-meaning-duplicate,w_2442f06ad4b1e2c1,w_2442f06ad4b1e2c1,,kaggle:robinpourtaud/jlpt-words-by-level,胡麻を煎る
w_01f119facf6e9d97,N2,伯父さん,おじさん,"삼촌, 아저씨",meaning-update,伯父さん,おじさん,부모보다 나이가 많은 삼촌; 아저씨,,叔父さん과 구분,manually-adjudicated,high,kanji-hiragana,kanji-form,same-jmdict-entry-duplicate;same-reading-meaning-duplicate,w_69c992c9db76a823;w_a430acefffcd0bfe,w_69c992c9db76a823,,kaggle:robinpourtaud/jlpt-words-by-level,イ：伯父さん、お母さんが幼い頃はどうでしたか。
w_97db66ffd893f4b5,N2,伯母,おば,"큰어머니, 백모, 이모/고모",meaning-update,伯母,おば,부모보다 나이가 많은 아주머니,,叔母와 구분,manually-adjudicated,high,kanji,kanji-form,same-jmdict-entry-duplicate,w_9ea346dbfdc4c768,,,kaggle:robinpourtaud/jlpt-words-by-level,伯母の宅に寝泊りする
w_9ea346dbfdc4c768,N2,叔母,おば,"작은어머니, 숙모, 이모/고모",meaning-update,叔母,おば,부모보다 나이가 어린 아주머니,,伯母와 구분,manually-adjudicated,high,kanji,kanji-form,same-jmdict-entry-duplicate,w_97db66ffd893f4b5,,,kaggle:robinpourtaud/jlpt-words-by-level,ロ：祖母と祖父から叔母、外叔、叔母など、家族全員が一緒に行くんだ。
w_e74097848962e54a,N2,捜す,さがす,"찾다, 검색하다, 구하다",meaning-update,捜す,さがす,잃은 사람·물건을 수색하다,,探す와 구분,manually-adjudicated,high,kanji-hiragana,kanji-form,same-jmdict-entry-duplicate,w_6257d89430551d56,,,kaggle:robinpourtaud/jlpt-words-by-level,住みかを捜す
w_6257d89430551d56,N2,探す,さがす,찾다,meaning-update,探す,さがす,원하는 사람·물건을 찾다,,捜す와 구분,manually-adjudicated,high,kanji-hiragana,kanji-form,same-jmdict-entry-duplicate,w_e74097848962e54a,,,pdf:mkt_n2,退任した会長の跡継ぎを探す.
w_b76b29ffb14e7358,N2,政党,せいとう,정당,meaning-update,政党,せいとう,"정당, 정치 단체",,正当과 한국어 동음어 구분,manually-adjudicated,medium,kanji,kanji-form,same-reading-meaning-duplicate,,w_a79d251aabe4dbff,,kaggle:robinpourtaud/jlpt-words-by-level,政党が真っ二つに分裂する
w_b6692781d912a8ce,N2,初めに,はじめに,"처음에, 먼저",meaning-update,初めに,はじめに,"처음에, 우선",,始めに와 용법 구분,manually-adjudicated,high,kanji-hiragana,kanji-form,same-jmdict-entry-duplicate;same-reading-meaning-duplicate,w_213905929b42e976,w_213905929b42e976,,kaggle:robinpourtaud/jlpt-words-by-level,これまで公にされなかった秘技を初めに公開した
w_213905929b42e976,N2,始めに,はじめに,"처음에, 먼저",meaning-update,始めに,はじめに,"일을 시작할 때, 시작 부분에",,初めに와 용법 구분,manually-adjudicated,high,kanji-hiragana,kanji-form,same-jmdict-entry-duplicate;same-reading-meaning-duplicate,w_b6692781d912a8ce,w_b6692781d912a8ce,,kaggle:robinpourtaud/jlpt-words-by-level,今年は我が家が村で一番始めに種をまいた.
w_f87709f6a85bf0b8,N2,湧く,わく,끓다,meaning-update,湧く,わく,"솟아나다, 생겨나다",,沸く와 구분,manually-adjudicated,medium,kanji-hiragana,kanji-form,same-reading-meaning-duplicate,,w_e0c09eff2ebee699,,pdf:mkt_n2,虫が湧く
