literal,meanings_ko,meanings_en,onyomi,kunyomi,radical,radical_name_ko,radical_number,stroke_count,source,source_url,license,qa_status,data_version,qa_note
囲,"[""둘러싸다""]","[""surround"",""besiege"",""store"",""paling"",""enclosure"",""encircle"",""preserve"",""keep""]","[""イ""]","[""かこ.む"",""かこ.う"",""かこ.い""]",囗,큰입구 국,31,7,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
委,"[""맡기다"",""위원회""]","[""committee"",""entrust to"",""leave to"",""devote"",""discard""]","[""イ""]","[""ゆだ.ねる""]",女,계집 녀,38,8,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
威,"[""위엄"",""위협하다""]","[""intimidate"",""dignity"",""majesty"",""menace"",""threaten""]","[""イ""]","[""おど.す"",""おど.し"",""おど.かす""]",女,계집 녀,38,9,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
意,"[""뜻"",""생각"",""마음""]","[""idea"",""mind"",""heart"",""taste"",""thought"",""desire"",""care"",""liking""]","[""イ""]",[],心,마음 심,61,13,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
慰,"[""위로하다"",""달래다""]","[""consolation"",""amusement"",""seduce"",""cheer"",""make sport of"",""comfort"",""console""]","[""イ""]","[""なぐさ.める"",""なぐさ.む""]",心,마음 심,61,15,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,verified,10,Human-reviewed 2026-08-22: KANJIDIC English + JLPT usage cross-check; semantic-review draft confirmed.
易,"[""쉽다""]","[""easy"",""ready to"",""simple"",""fortune-telling"",""divination""]","[""エキ"",""イ""]","[""やさ.しい"",""やす.い""]",日,날 일,72,8,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
椅,"[""의자""]","[""chair""]","[""イ""]",[],木,나무 목,75,12,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,2,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
為,"[""위함"",""~때문에""]","[""do"",""change"",""make"",""benefit"",""welfare"",""be of use"",""reach to"",""try"",""practice"",""cost"",""serve as"",""good"",""advantage"",""as a result of""]","[""イ""]","[""ため"",""な.る"",""な.す"",""す.る"",""たり"",""つく.る"",""なり""]",火,불 화,86,9,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
異,"[""상이하다"",""다르다""]","[""uncommon"",""different"",""queerness"",""strangeness"",""wonderful"",""curious"",""unusual""]","[""イ""]","[""こと"",""こと.なる"",""け""]",田,밭 전,102,11,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
移,"[""옮기다""]","[""shift"",""move"",""change"",""drift"",""catch (cold, fire)"",""pass into""]","[""イ""]","[""うつ.る"",""うつ.す""]",禾,벼 화,115,11,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
維,"[""섬유"",""잇다"",""밧줄""]","[""fiber"",""tie"",""rope""]","[""イ""]",[],糸,실 사,120,14,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
緯,"[""가로"",""위도""]","[""horizontal"",""woof"",""left & right"",""(parallels of) latitude"",""prediction""]","[""イ""]","[""よこいと"",""ぬき""]",糸,실 사,120,16,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
胃,"[""위(장기)""]","[""stomach"",""paunch"",""crop"",""craw""]","[""イ""]",[],肉,고기 육,130,9,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,2,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
萎,"[""시들다"",""쪼그라들다""]","[""wither"",""droop"",""lame""]","[""イ""]","[""な"",""しお.れる"",""しな.びる"",""しぼ.む"",""な.える""]",艸,풀 초,140,11,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,2,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
衣,"[""옷"",""의복""]","[""garment"",""clothes"",""dressing""]","[""イ"",""エ""]","[""ころも"",""きぬ"",""-ぎ""]",衣,옷 의,145,6,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
違,"[""다르다""]","[""difference"",""differ""]","[""イ""]","[""ちが.う"",""ちが.い"",""ちが.える"",""-ちが.える"",""たが.う"",""たが.える""]",辵,책받침 착,162,13,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
遺,"[""남기다"",""유산""]","[""bequeath"",""leave behind"",""reserve""]","[""イ"",""ユイ""]","[""のこ.す""]",辵,책받침 착,162,15,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
医,"[""의사"",""의학""]","[""doctor"",""medicine""]","[""イ""]","[""い.やす"",""い.する"",""くすし""]",匸,감출 혜,23,7,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
井,"[""우물""]","[""well"",""well crib"",""town"",""community""]","[""セイ"",""ショウ""]","[""い""]",二,두 이,7,4,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
域,"[""영역"",""지역"",""범위""]","[""range"",""region"",""limits"",""stage"",""level""]","[""イキ""]",[],土,흙 토,32,11,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
育,"[""자라다""]","[""bring up"",""grow up"",""raise"",""rear""]","[""イク""]","[""そだ.つ"",""そだ.ち"",""そだ.てる"",""はぐく.む""]",肉,고기 육,130,8,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
一,"[""하나""]","[""one"",""one radical (no.1)""]","[""イチ"",""イツ""]","[""ひと-"",""ひと.つ""]",一,한 일,1,1,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,2,Manual format normalization 2026-08-18: 숫자 표기 중복을 제거하고 한국어 기본 뜻을 유지함.
溢,"[""넘쳐나다"",""흔하다""]","[""overflow"",""inundate"",""spill""]","[""イツ""]","[""こぼ.れる"",""あふ.れる"",""み.ちる""]",水,물 수,85,13,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,2,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
逸,"[""빗나가다"",""벗어나다""]","[""deviate"",""idleness"",""leisure"",""miss the mark"",""evade"",""elude"",""parry"",""diverge""]","[""イツ""]","[""そ.れる"",""そ.らす"",""はぐ.れる""]",辵,책받침 착,162,11,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
稲,"[""벼"",""벼 포기""]","[""rice plant""]","[""トウ"",""テ""]","[""いね"",""いな-""]",禾,벼 화,115,14,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,2,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
印,"[""표시"",""상징"",""증거""]","[""stamp"",""seal"",""mark"",""imprint"",""symbol"",""emblem"",""trademark"",""evidence"",""souvenir"",""India""]","[""イン""]","[""しるし"",""-じるし"",""しる.す""]",卩,병부 절,26,6,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
員,"[""구성원"",""직원"",""인원""]","[""employee"",""member"",""number"",""the one in charge""]","[""イン""]",[],口,입 구,30,10,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
因,"[""원인"",""인하다""]","[""cause"",""factor"",""be associated with"",""depend on"",""be limited to""]","[""イン""]","[""よ.る"",""ちな.む""]",囗,큰입구 국,31,6,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
引,"[""끌다"",""당기다"",""인용하다""]","[""pull"",""tug"",""jerk"",""admit"",""install"",""quote"",""refer to""]","[""イン""]","[""ひ.く"",""ひ.ける""]",弓,활 궁,57,4,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
飲,"[""마시다"",""삼키다""]","[""drink"",""smoke"",""take""]","[""イン"",""オン""]","[""の.む"",""-の.み""]",食,밥 식,184,12,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
院,"[""기관"",""원"",""사원""]","[""Inst."",""institution"",""temple"",""mansion"",""school""]","[""イン""]",[],阜,언덕 부,170,10,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
陰,"[""그늘"",""보이지 않는 이면""]","[""shade"",""yin"",""negative"",""sex organs"",""secret"",""shadow""]","[""イン""]","[""かげ"",""かげ.る""]",阜,언덕 부,170,11,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
隠,"[""숨기다""]","[""conceal"",""hide"",""cover""]","[""イン"",""オン""]","[""かく.す"",""かく.し"",""かく.れる"",""よ.る""]",阜,언덕 부,170,14,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
右,"[""오른쪽""]","[""right""]","[""ウ"",""ユウ""]","[""みぎ""]",口,입 구,30,5,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
宇,"[""집"",""하늘"",""처마""]","[""eaves"",""roof"",""house"",""heaven""]","[""ウ""]",[],宀,갓머리 면,40,6,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
雨,"[""비""]","[""rain""]","[""ウ""]","[""あめ"",""あま-"",""-さめ""]",雨,비 우,173,8,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
嘘,"[""거짓말""]","[""lie"",""falsehood""]","[""キョ"",""コ""]","[""うそ"",""ふ.く""]",口,입 구,30,14,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
噂,"[""소문""]","[""rumor"",""gossip"",""hearsay""]","[""ソン""]","[""うわさ""]",口,입 구,30,15,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
云,"[""말하다""]","[""say""]","[""ウン""]","[""い.う"",""ここに""]",二,두 이,7,4,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,verified,10,Human-reviewed 2026-08-22: KANJIDIC English + JLPT usage cross-check; semantic-review draft confirmed.
運,"[""운"",""운수""]","[""carry"",""luck"",""destiny"",""fate"",""lot"",""transport"",""progress"",""advance""]","[""ウン""]","[""はこ.ぶ""]",辵,책받침 착,162,12,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
雲,"[""구름""]","[""cloud""]","[""ウン""]","[""くも"",""-ぐも""]",雨,비 우,173,12,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
営,"[""영위하다"",""경영하다""]","[""camp"",""perform"",""build"",""conduct (business)""]","[""エイ""]","[""いとな.む"",""いとな.み""]",口,입 구,30,12,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
影,"[""그림자"",""비친 형상""]","[""shadow"",""silhouette"",""phantom""]","[""エイ""]","[""かげ""]",彡,터럭 삼,59,15,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
映,"[""비치다"",""반사되다"",""찍히다""]","[""reflect"",""reflection"",""projection""]","[""エイ""]","[""うつ.る"",""うつ.す"",""は.える"",""-ば.え""]",日,날 일,72,9,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
栄,"[""번영하다"",""번창하다""]","[""flourish"",""prosperity"",""honor"",""glory"",""splendor""]","[""エイ"",""ヨウ""]","[""さか.える"",""は.え"",""-ば.え"",""は.える"",""え""]",木,나무 목,75,9,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
永,"[""길다"",""영원""]","[""eternity"",""long"",""lengthy""]","[""エイ""]","[""なが.い""]",水,물 수,85,5,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
泳,"[""헤엄치다""]","[""swim""]","[""エイ""]","[""およ.ぐ""]",水,물 수,85,8,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
英,"[""영국"",""영어"",""뛰어나다""]","[""England"",""English"",""hero"",""outstanding"",""calyx""]","[""エイ""]","[""はなぶさ""]",艸,풀 초,140,8,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
衛,"[""지키다"",""방위""]","[""defense"",""protection""]","[""エイ"",""エ""]",[],行,다닐 행,144,16,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
鋭,"[""날카롭다"",""예리하다""]","[""pointed"",""sharpness"",""edge"",""weapon"",""sharp"",""violent""]","[""エイ""]","[""するど.い""]",金,쇠 금,167,15,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,verified,10,Human-reviewed 2026-08-22: KANJIDIC English + JLPT usage cross-check; semantic-review draft confirmed.
液,"[""액체"",""액(液)""]","[""fluid"",""liquid"",""juice"",""sap"",""secretion""]","[""エキ""]",[],水,물 수,85,11,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
益,"[""이익"",""보탬""]","[""benefit"",""gain"",""profit"",""advantage""]","[""エキ"",""ヤク""]","[""ま.す""]",皿,그릇 명,108,10,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
駅,"[""역""]","[""station""]","[""エキ""]",[],馬,말 마,187,14,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
越,"[""넘다"",""건너다""]","[""surpass"",""cross over"",""move to"",""exceed"",""Vietnam""]","[""エツ"",""オツ""]","[""こ.す"",""-こ.す"",""-ご.し"",""こ.える"",""-ご.え""]",走,달아날 주,156,12,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
閲,"[""검열"",""열람""]","[""review"",""inspection"",""revision""]","[""エツ""]","[""けみ.する""]",門,문 문,169,15,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
