id,level,surface,reading_kana,furigana,meaning_en,meaning_ko,part_of_speech,card_type,example_jp,example_ko,example_jp_id,example_jp_author,example_ko_id,example_ko_author,example_license,alt_forms,disambig,source,qa_status,deprecated,tags,data_version,qa_note
w_df800d38380b4325,N5,暑い,あつい,あつい,"hot (in reference to weather), warm",덥다,adjective,B,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_4d20e94fde998e57,N5,熱い,あつい,あつい,hot (objects),뜨겁다,adjective,B,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_ef8fe7df0ce0ca60,N5,厚い,あつい,あつい,"kind, warm(hearted), thick, deep",두껍다,adjective,B,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_c11c9406a42cce83,N5,あっち,あっち,あっち,over there,"저쪽, 거기",noun,C,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,1,"[""draft-ko-missing"", ""curation-removed""]",1,Korean meaning draft required | 구어 변이 제외(말투는 문법으로 학습): 표준형 あちら 유지
w_d5f25dace331d783,N5,後,あと,あと,afterwards (later); in the future; the rest; since then,"뒤, 나중",noun,A,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_544139731cfe7ca3,N5,あなた,あなた,あなた,you,"당신, 너",pronoun,C,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_b73b99fab291ca09,N5,兄,あに,あに,(my) older brother (humble),형/오빠,noun,A,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_cf3e5eef92626820,N5,姉,あね,あね,(my) older sister (humble),누나/언니,noun,A,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_f2a724a359b23f1d,N5,アパート,アパート,アパート,apartment (abbr.),아파트(약어),noun,D,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_436eb6aedd6c91e1,N5,あの,あの,あの,"that over there; like that, that way; um...","저, 저쪽의, 음",adjective,C,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,1,"[""ko-reviewed"",""non-vocabulary""]",1,Korean meaning reviewed/corrected; 단어형 항목 아님: 감탄사·응답 표현이라 단어 학습 표제어에서 제외
w_b69623c9f42326bc,N5,浴びる,あびる,あびる,"to bathe, to shower","목욕하다, 샤워하다",verb,B,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_d4ca9e2b1d23354a,N5,危ない,あぶない,あぶない,"dangerous, critical",위험하다,adjective,B,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_c0cc225df4622838,N5,甘い,あまい,あまい,"generous, sweet",달다,adjective,B,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_a086fdbd8376013f,N5,余り,あまり,あまり,not very; surplus,"그다지 ~않은, 잉여, 남음",noun,B,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_48fbd408a115f905,N5,雨,あめ,あめ,rain,비,noun,A,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_de1206f531e9733d,N5,飴,あめ,あめ,(hard) candy,사탕,noun,A,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_336db92caf7feb12,N5,洗う,あらう,あらう,to wash,씻다,verb,B,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_6d28963c45f76f38,N5,在る,ある,ある,"to be, to have","있다, 존재하다, 가지다",verb,B,,,,,,,,有る,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""ko-reviewed""]",1,Korean meaning reviewed/corrected
w_84a49c4c7c385a67,N5,有る,ある,ある,"to be, to have","있다, 존재하다, 가지다",verb,B,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,1,"[""ko-reviewed"", ""curation-removed""]",1,"Korean meaning reviewed/corrected | 중복 표기 통합: 在る(n5-0040) 유지, 有る→alt"
w_a8ec89206d4fff44,N5,歩く,あるく,あるく,to walk,걷다,verb,B,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_7b2c455e4c556f13,N5,あれ,あれ,あれ,that one (over there),"그것(저쪽, 거기)",pronoun,C,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_55a89ec42223f73e,N5,いい,いい,いい,good,"좋음, 좋은",adjective,E,,,,,,,,よい,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_4f2e8c316cf6352e,N5,いいえ,いいえ,いいえ,"no, not at all","아니요, 전혀",interjection,C,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,1,"[""draft-ko-missing"",""non-vocabulary""]",1,Korean meaning draft required; 단어형 항목 아님: 감탄사·응답 표현이라 단어 학습 표제어에서 제외
w_024f604ff23bfcfe,N5,言う,いう,いう,to say,말하다,verb,B,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_07bc7f7c95991757,N5,家,いえ,いえ,"house, home",집,noun,A,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_9061acd53d01a8dc,N5,いかが,いかが,いかが,"how, in what way","어떻습니까, 어떠한가",adverb,C,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""ko-reviewed""]",1,Korean meaning reviewed/corrected
w_0d75d10f210602c1,N5,行く,いく; ゆく,いく; ゆく,to go,가다,verb,B,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_77c93537e7c5e4fd,N5,いくつ,いくつ,いくつ,"how many, how old","몇 개, 몇 살",adverb,C,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_bc6fa5bc224dbef9,N5,いくら,いくら,いくら,"how much, how many",얼마,noun,C,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_a93adb84663bb23a,N5,池,いけ,いけ,pond,연못,noun,A,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_f88777c9431a4158,N5,医者,いしゃ,いしゃ,doctor; physician,의사,noun,A,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_b410c1c4c2bfce39,N5,椅子,いす,いす,chair,의자,noun,A,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_481e1278ff1a5c1c,N5,忙しい,いそがしい,いそがしい,"busy (people, days)",바쁘다,adjective,B,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_03f1fbfb1a4e6d33,N5,痛い,いたい,いたい,hurt; painful; sore,아프다,adjective,B,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_0bbed65bbab68eb4,N5,一,いち,いち,one,"하나, 1",numeral,A,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_3bc67de953004ffa,N5,一日,いちにち,いちにち,one day (duration),"하루, 1일",noun,A,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,1,"[""draft-ko-missing"",""non-vocabulary""]",1,Korean meaning draft required; 단어형 항목 아님: 날짜·개수 세기 표현이라 독립 단어 학습 표제어에서 제외
w_ea12d2f2af986fa5,N5,一番,いちばん,いちばん,"best (most), first, number one","첫 번째, 가장",noun,A,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_0385d7c8467b50dd,N5,いつ,いつ,いつ,when,언제,pronoun,C,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_f89de1b867d2a8b5,N5,五日,いつか,いつか,five days; fifth day of the month,"5일, 닷새",noun,A,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,1,"[""draft-ko-missing"",""non-vocabulary""]",1,Korean meaning draft required; 단어형 항목 아님: 날짜·개수 세기 표현이라 독립 단어 학습 표제어에서 제외
w_9151b8dab19698cd,N5,一緒,いっしょ,いっしょ,together,함께,noun,A,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_dc3cdfe9aede617c,N5,五つ,いつつ,いつつ,five things,다섯 개,numeral,B,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,1,"[""draft-ko-missing"",""non-vocabulary""]",1,Korean meaning draft required; 단어형 항목 아님: 날짜·개수 세기 표현이라 독립 단어 학습 표제어에서 제외
w_0eb7fb9f9547d8f1,N5,いつも,いつも,いつも,"always, usually, every time, never (with neg. verb)","언제나, 보통, 늘",adverb,C,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""ko-reviewed""]",1,Korean meaning reviewed/corrected
w_0eb0f469760ebd47,N5,犬,いぬ,いぬ,dog,개,noun,A,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_f3ca2a5e06ac76c9,N5,今,いま,いま,now,지금,noun,A,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_1c4782cb3f4c16f4,N5,意味,いみ,いみ,"meaning, significance","의미, 뜻",noun,A,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_0611fb1bc235a05e,N5,妹,いもうと,いもうと,younger sister (humble),여동생,noun,A,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_0835a2e4373e8175,N5,嫌,いや,いや,"disagreeable, detestable, unpleasant",싫음,noun,A,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,1,"[""draft-ko-missing"", ""curation-removed""]",1,Korean meaning draft required | 명사↔형용사 겹침: 嫌い 유지
w_6d8d3d2da36e4d2a,N5,入口,いりぐち,いりぐち,entrance,입구,noun,A,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_a9ecc3b353d6e247,N5,居る,いる,いる,"(humble) to be (animate), to exist",있다,verb,B,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_a3426772d384ade7,N5,要る,いる,いる,to need,필요하다,verb,B,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_f10e411690fd2175,N5,入れる,いれる,いれる,to put in,넣다,verb,B,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_fda788e47b26a124,N5,色,いろ,いろ,color,색,noun,A,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_1cd9d956ac65ad3e,N5,色々,いろいろ,いろいろ,various,다양한,adjective,A,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_f9afbe72e023b2b4,N5,上,うえ,うえ,"above (up, top, etc.), over, on top of",위,noun,A,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_7612d2a4581e044d,N5,後ろ,うしろ,うしろ,"back, behind, rear",뒤,noun,B,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_d18208a487d10453,N5,薄い,うすい,うすい,"thin, weak","얇다, 옅다",adjective,B,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_01fbc4d975317826,N5,歌,うた,うた,a song,노래,noun,A,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_0363b4d7e46c0a57,N5,歌う,うたう,うたう,to sing,노래하다,verb,B,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_2a3ec21ceffb68fa,N5,うち,うち,うち,home; house; my place,"집, 우리 집",noun,C,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_9f48fc575582aa14,N5,生まれる,うまれる,うまれる,to be born,태어나다,verb,B,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_5a94cb733d2667ae,N5,海,うみ,うみ,"sea, beach",바다,noun,A,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_5172b1665f9af516,N5,売る,うる,うる,to sell (v.t.),팔다,verb,B,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_1bb41e64364f894d,N5,うるさい,うるさい,うるさい,noisy; annoying,"시끄러운, 성가신",adjective,C,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_0472c2d72d95757c,N5,上着,うわぎ,うわぎ,"coat, jacket",겉옷,noun,A,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_1c59e13dadce6f6b,N5,絵,え,え,a painting; a picture; a drawing,그림,noun,A,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_a98005804f7e62f0,N5,映画,えいが,えいが,"movie, film",영화,noun,A,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_de95050774bb705b,N5,映画館,えいがかん,えいがかん,"movie theater, cinema",영화관,noun,A,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_1fc5c18bb5cc7a10,N5,英語,えいご,えいご,English (language),영어,noun,A,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_026d2fe7ff276a37,N5,ええ,ええ,ええ,yes,"네, 예",interjection,C,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,1,"[""draft-ko-missing"",""non-vocabulary""]",1,Korean meaning draft required; 단어형 항목 아님: 감탄사·응답 표현이라 단어 학습 표제어에서 제외
w_1a590a2722d8602f,N5,駅,えき,えき,station,역,noun,A,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_2c647eb6552532c8,N5,エレベーター,エレベーター,エレベーター,elevator,엘리베이터,noun,D,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_c96f23bc6bcba31e,N5,～円,～えん,～えん,Yen,엔,noun,A,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,1,"[""draft-ko-missing"",""non-vocabulary""]",1,Korean meaning draft required; 단어형 항목 아님: 표면형/읽기에 ～ 또는 〜 자리표시자가 있어 문법·접사 패턴으로 분류
w_5d55bbe96ead710f,N5,鉛筆,えんぴつ,えんぴつ,pencil,연필,noun,A,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_c49a373b57bf0427,N5,お～,お～,お～,honorable ~ (honorific),"공손한, 존경의 ~(존경어, 존대)",noun,E,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,1,"[""draft-ko-missing"",""non-vocabulary""]",1,Korean meaning draft required; 단어형 항목 아님: 표면형/읽기에 ～ 또는 〜 자리표시자가 있어 문법·접사 패턴으로 분류
w_343ef02b55e3b360,N5,美味しい,おいしい,おいしい,"delicious, tasty",맛있다,adjective,B,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_f96a8af68031ebbf,N5,多い,おおい,おおい,many; there are a lot,많다,adjective,B,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_75de41fe96c1c937,N5,大きい,おおきい,おおきい,"big, large",크다,adjective,B,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_3f640b266f63ee0d,N5,大きな,おおきな,おおきな,big,큰,adjective,B,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_111086aad28dba1a,N5,大勢,おおぜい,おおぜい,great number of people,많은 사람,noun,A,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_b064045ef64d646b,N5,お母さん,おかあさん,おかあさん,mother (formal),어머니,noun,B,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_7aa37a17271d254c,N5,お菓子,おかし,おかし,"confections, sweets, snack",과자,noun,B,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_3b0299bf8a99dffb,N5,お金,おかね,おかね,money,돈,noun,B,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_39a427c6dee763c4,N5,起きる,おきる,おきる,"to get up (e.g., from sleeping); to happen",일어나다,verb,B,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_f1243346bf467e1d,N5,置く,おく,おく,to put; to lay; to place,놓다,verb,B,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_07ad732dad59f356,N5,奥さん,おくさん,おくさん,(someone else's) wife (hon.),"아내, 부인",noun,B,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_623d9f78e8f3f7cf,N5,お酒,おさけ,おさけ,sake; alcohol,술,noun,B,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_81692f3ef0c299c7,N5,お皿,おさら,おさら,"plate, dish",접시,noun,B,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_69c992c9db76a823,N5,叔父さん,おじさん,おじさん,"uncle, middle-aged man","삼촌, 아저씨",noun,B,,,,,,,,伯父さん,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_1fa82cbf3bd87313,N5,おじいさん,おじいさん,おじいさん,"grandfather, male senior citizen",할아버지,noun,C,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_d5962a44ebfdac96,N5,教える,おしえる,おしえる,"to teach, to inform, to instruct",가르치다,verb,B,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_b38cfcd67ff64a8e,N5,押す,おす,おす,"to push, to press, to stamp (e.g., a passport)",누르다,verb,B,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_12acadbc6530ce41,N5,遅い,おそい,おそい,slow; (to be) late,"늦다, 느리다",adjective,B,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_612ff07319f81b78,N5,お茶,おちゃ,おちゃ,(green) tea,차,noun,B,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_34daa913fec1f7c8,N5,お手洗い,おてあらい,おてあらい,"toilet, restroom, bathroom (lit., a place to wash one's hands)",화장실,noun,B,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
