literal,highest_severity,checks,details,meanings_ko,meanings_en,onyomi,kunyomi,radical,radical_name_ko,radical_number,stroke_count,qa_status,linked_word_count,linked_word_examples
与,review,manual_review_required,,"[""주다"",""수여하다""]","[""bestow"",""participate in"",""give"",""award"",""impart"",""provide"",""cause"",""gift"",""godsend""]","[""ヨ""]","[""あた.える"",""あずか.る"",""くみ.する"",""ともに""]",一,한 일,1,3,auto,6,"与える/あたえる:주다,수여하다 || 給与/きゅうよ:급여 || 与党/よとう:여당, 집권당 || 関与/かんよ:관여 || 寄与/きよ:기여 || 供与/きょうよ:공여,제공"
且,review,manual_review_required,,"[""또한"",""게다가""]","[""moreover"",""also"",""furthermore""]","[""ショ"",""ソ"",""ショウ""]","[""か.つ""]",一,한 일,1,5,needs_review,1,"且つ/かつ:또한, 동시에"
世,review,manual_review_required,,"[""세상"",""세대""]","[""generation"",""world"",""society"",""public""]","[""セイ"",""セ"",""ソウ""]","[""よ""]",一,한 일,1,5,auto,13,"世界/せかい:세계 || 世話/せわ:돌봄, 폐, 신세 || 世の中/よのなか:세상 || 世紀/せいき:세기 || 世間/せけん:세계, 사회 || 中世/ちゅうせい:중세 || 出世/しゅっせ:출세 || 世代/せだい:세대"
丘,review,manual_review_required,,"[""언덕"",""높이""]","[""hill"",""knoll""]","[""キュウ""]","[""おか""]",一,한 일,1,5,auto,1,"丘陵/きゅうりょう:구릉,언덕"
両,review,manual_review_required,,"[""둘"",""양쪽""]","[""both"",""old Japanese coin"",""counter for carriages (e.g., in a train)"",""two""]","[""リョウ""]","[""てる"",""ふたつ""]",一,한 일,1,6,auto,3,"両方/りょうほう:양쪽, 둘 다 || 両側/りょうがわ:양쪽, 양측 || 両替/りょうがえ:환전"
並,review,manual_review_required,,"[""한줄로서다"",""늘어서다""]","[""row"",""and"",""besides"",""as well as"",""line up"",""rank with"",""rival"",""equal""]","[""ヘイ"",""ホウ""]","[""な.み"",""なみ"",""なら.べる"",""なら.ぶ"",""なら.びに""]",一,한 일,1,8,auto,6,"並ぶ/ならぶ:한줄로서다,늘어서다 || 並べる/ならべる:진열하다 || 並行/へいこう:나란히(가다), 동시의, 동시에 || 並木/なみき:가로수, 가로수길 || 並びに/ならびに:및, 그리고 || 並列/へいれつ:병렬"
中,review,manual_review_required,,"[""안"",""속""]","[""in"",""inside"",""middle"",""mean"",""center""]","[""チュウ""]","[""なか"",""うち"",""あた.る""]",丨,뚫을 곤,2,4,auto,45,"中/なか:안, 속 || 中々/なかなか:매우, 상당히, 꽤 || 途中/とちゅう:도중 || 中止/ちゅうし:중지 || 背中/せなか:등 || 中学校/ちゅうがっこう:중학교 || 日中/にっちゅう:주간;낮 || 中国/ちゅうごく:나라의 중앙부, 일본의 山陽·山陰 지방, 중국"
丸,review,manual_review_required,,"[""동그라미"",""원""]","[""round"",""full (month)"",""perfection"",""-ship"",""pills"",""make round"",""roll up"",""curl up"",""seduce"",""explain away""]","[""ガン""]","[""まる"",""まる.める"",""まる.い""]",丶,점 주,3,3,auto,5,"丸い/まるい:둥글다 || 丸/まる:동그라미, 원 || 丸ごと/まるごと:통째로, 전부 || 丸々/まるまる:완전히 || 真ん丸い/まんまるい:둥글디둥글다"
丹,review,manual_review_required,,"[""붉다"",""정성""]","[""rust-colored"",""red"",""red lead"",""pills"",""sincerity""]","[""タン""]","[""に""]",丶,점 주,3,4,auto,1,"丹念/たんねん:정성스런,꼼꼼한"
主,review,manual_review_required,,"[""주되다""]","[""lord"",""chief"",""master"",""main thing"",""principal""]","[""シュ"",""ス"",""シュウ""]","[""ぬし"",""おも"",""あるじ""]",丶,점 주,3,5,auto,26,"主人/しゅじん:남편; 주인 || 主/おも:주되다 || 主張/しゅちょう:주장 || 主婦/しゅふ:주부 || 主に/おもに:주로 || 主義/しゅぎ:주의, 원칙 || 主人公/しゅじんこう:주인공 || 主要/しゅよう:주요"
丼,review,manual_review_required,,"[""덮밥 그릇"",""덮밥""]","[""bowl"",""bowl of food""]","[""トン"",""タン"",""ショウ"",""セイ""]","[""どんぶり""]",丶,점 주,3,5,auto,1,"丼/どんぶり:덮밥 그릇, 덮밥"
乃,review,manual_review_required,,"[""이에"",""곧"",""의""]","[""from"",""possessive particle"",""whereupon"",""accordingly""]","[""ナイ"",""ダイ"",""ノ"",""アイ""]","[""の"",""すなわ.ち"",""なんじ""]",丿,삐침 별,4,2,needs_review,1,"乃至/ないし:내지, 또는"
久,review,manual_review_required,,"[""오래됨"",""오랜 시간""]","[""long time"",""old story""]","[""キュウ"",""ク""]","[""ひさ.しい""]",丿,삐침 별,4,3,auto,2,"久しぶり/ひさしぶり:오랜만 || 永久/えいきゅう:영원, 영구, 불멸"
乏,review,manual_review_required,,"[""빈곤하다""]","[""destitution"",""scarce"",""limited""]","[""ボウ""]","[""とぼ.しい"",""とも.しい""]",丿,삐침 별,4,4,auto,3,"貧乏/びんぼう:가난, 빈곤 || 乏しい/とぼしい:빈곤하다 || 欠乏/けつぼう:결핍, 부족"
乗,review,manual_review_required,,"[""타다"",""오르다""]","[""ride"",""power"",""multiplication"",""record"",""counter for vehicles"",""board"",""mount"",""join""]","[""ジョウ"",""ショウ""]","[""の.る"",""-の.り"",""の.せる""]",丿,삐침 별,4,9,auto,14,"乗る/のる:(차, 비행기를) 타다 || 乗り換え/のりかえ:환승, 갈아탐 || 乗り物/のりもの:탈것 || 乗り換える/のりかえる:갈아타다 || 乗客/じょうきゃく:승객 || 乗車/じょうしゃ:승차 || 乗車券/じょうしゃけん:승차권 || 乗せる/のせる:운반하는 도구 위에 두다, 태우다, 싣다;실리다"
乙,review,manual_review_required,,"[""을"",""둘째""]","[""the latter"",""duplicate"",""strange"",""witty"",""fishhook radical (no. 5)""]","[""オツ"",""イツ""]","[""おと-"",""きのと""]",乙,새 을,5,1,auto,1,"乙/おつ:을, 둘째"
乱,review,manual_review_required,,"[""어지럽히다"",""흐트러뜨리다""]","[""riot"",""war"",""disorder"",""disturb""]","[""ラン"",""ロン""]","[""みだ.れる"",""みだ.る"",""みだ.す"",""みだ"",""おさ.める"",""わた.る""]",乙,새 을,5,7,auto,6,"混乱/こんらん:혼란 || 乱暴/らんぼう:난폭함, 거칠음 || 乱れる/みだれる:흐트러지다,혼란해지다 || 乱用/らんよう:남용 || 乱す/みだす:어지럽히다, 흐트러뜨리다 || 内乱/ないらん:내란"
乳,review,manual_review_required,,"[""젖"",""유방""]","[""milk"",""breasts""]","[""ニュウ""]","[""ちち"",""ち""]",乙,새 을,5,8,auto,2,"牛乳/ぎゅうにゅう:우유 || 乳/ちち:젖, 유방"
乾,review,manual_review_required,,"[""마르다"",""건조되다""]","[""drought"",""dry"",""desiccate"",""drink up"",""heaven"",""emperor""]","[""カン"",""ケン""]","[""かわ.く"",""かわ.かす"",""ほ.す"",""ひ.る"",""いぬい""]",乙,새 을,5,11,auto,6,"乾く/かわく:마르다,건조되다 || 乾杯/かんぱい:건배 || 乾かす/かわかす:마르다, 말리다(옷 등) || 乾燥/かんそう:건조 || 乾燥する/かんそうする:건조하다 || 乾電池/かんでんち:건전지"
了,review,manual_review_required,,"[""마치다"",""완료""]","[""complete"",""finish""]","[""リョウ""]",[],亅,갈고리 궐,6,2,auto,4,"完了/かんりょう:완료 || 終了/しゅうりょう:종료 || 了解/りょうかい:양해 || 了承/りょうしょう:승낙,양해"
予,review,manual_review_required,,"[""미리""]","[""beforehand"",""previous"",""myself"",""I""]","[""ヨ"",""シャ""]","[""あらかじ.め""]",亅,갈고리 궐,6,4,auto,15,予定/よてい:예정 || 予約/よやく:예약 || 天気予報/てんきよほう:날씨 예보 || 予習/よしゅう:예습 || 予想/よそう:예상 || 予算/よさん:예산 || 予防/よぼう:예방 || 予報/よほう:예보
争,review,manual_review_required,,"[""다투다"",""경쟁하다""]","[""contend"",""dispute"",""argue""]","[""ソウ""]","[""あらそ.う"",""いか.でか""]",亅,갈고리 궐,6,6,auto,7,"戦争/せんそう:전쟁 || 競争/きょうそう:경쟁 || 論争/ろんそう:논쟁 || 争う/あらそう:다투다, 경쟁하다 || 争い/あらそい:분쟁, 다툼, 싸움, 갈등 || 紛争/ふんそう:분쟁 || 抗争/こうそう:항쟁, 분쟁"
事,review,manual_review_required,,"[""일"",""것""]","[""matter"",""thing"",""fact"",""business"",""reason"",""possibly""]","[""ジ"",""ズ""]","[""こと"",""つか.う"",""つか.える""]",亅,갈고리 궐,6,8,auto,40,"仕事/しごと:일, 업무 || 事/こと:일, 것 || 大事/だいじ:중요함, 소중함 || お大事に/おだいじに:몸조심하세요, 쾌차하세요 || 事故/じこ:사고 || 食事/しょくじ:식사 || 事務所/じむしょ:사무실 || 工事/こうじ:건설, 구조 일하다, 작동하다"
二,review,manual_review_required,,"[""둘""]","[""two"",""two radical (no. 7)""]","[""ニ"",""ジ""]","[""ふた"",""ふた.つ"",""ふたたび""]",二,두 이,7,2,needs_review,7,"二日/ふつか:2일, 초이틀 || 二十歳/はたち:20세, 스무 살 || 二階/にかい:2층 || 二キロ/にキロ:2킬로미터 || 二匹/にひき:두 마리(고양이) || 二冊/にさつ:두 권(잡지) || 真っ二つ/まっぷたつ:둘로 딱 갈라짐"
云,review,manual_review_required,,"[""말하다""]","[""say""]","[""ウン""]","[""い.う"",""ここに""]",二,두 이,7,4,needs_review,1,"云々/うんぬん:운운, 등등"
互,review,manual_review_required,,"[""서로""]","[""mutually"",""reciprocally"",""together""]","[""ゴ""]","[""たが.い"",""かたみ.に""]",二,두 이,7,4,auto,6,"お互い/おたがい:서로, 상호 || 互いに/たがいに:서로 || 相互/そうご:상호의 || 互い/たがい:서로 || 交互/こうご:교호, 번갈아 || 互角/ごかく:호각,백중세"
五,review,manual_review_required,,"[""다섯"",""다섯 개""]","[""five""]","[""ゴ""]","[""いつ"",""いつ.つ""]",二,두 이,7,4,auto,3,"五つ/いつつ:다섯, 다섯 개 || 五十音/ごじゅうおん:일본의, 일본어 음절 문자표 || 四捨五入/ししゃごにゅう:반올림"
井,review,manual_review_required,,"[""우물""]","[""well"",""well crib"",""town"",""community""]","[""セイ"",""ショウ""]","[""い""]",二,두 이,7,4,auto,2,天井/てんじょう:천정 || 井戸/いど:우물
些,review,manual_review_required,,"[""조금"",""약간""]","[""a little bit"",""sometimes""]","[""サ"",""シャ""]","[""ち.と"",""ち.っと"",""いささか""]",二,두 이,7,8,auto,1,些細/ささい:사소한
亡,review,manual_review_required,,"[""잃다"",""여의다"",""사별하다""]","[""deceased"",""the late"",""dying"",""perish""]","[""ボウ"",""モウ""]","[""な.い"",""な.き-"",""ほろ.びる"",""ほろ.ぶ"",""ほろ.ぼす""]",亠,돼지해머리 두,8,3,auto,5,亡くなる/なくなる:죽다 || 死亡/しぼう:죽음 || 亡くす/なくす:잃다;여의다;사별하다 || 逃亡/とうぼう:탈출 || 滅亡/めつぼう:멸망
交,review,manual_review_required,,"[""교환하다""]","[""mingle"",""mixing"",""association"",""coming & going""]","[""コウ""]","[""まじ.わる"",""まじ.える"",""ま.じる"",""まじ.る"",""ま.ざる"",""ま.ぜる"",""-か.う"",""か.わす"",""かわ.す"",""こもごも""]",亠,돼지해머리 두,8,6,auto,22,"交差点/こうさてん:교차로 || 交番/こうばん:파출소 || 交通/こうつう:교통, 운송 || 交通事故/こうつうじこ:교통사고 || 交通費/こうつうひ:교통비 || 交際/こうさい:교제 || 交換/こうかん:교환 || 交流/こうりゅう:교류"
享,review,manual_review_required,,"[""누리다"",""받다""]","[""enjoy"",""receive"",""undergo"",""answer (phone)"",""take"",""get"",""catch""]","[""キョウ"",""コウ""]","[""う.ける""]",亠,돼지해머리 두,8,8,auto,1,享受/きょうじゅ:향유(누리는것)
人,review,manual_review_required,,"[""사람""]","[""person""]","[""ジン"",""ニン""]","[""ひと"",""-り"",""-と""]",人,사람 인,9,2,auto,65,人/ひと:사람 || 何人/なんにん:몇 명 || 男の人/おとこのひと:남자 || 女の人/おんなのひと:여자 || 大人/おとな:어른 || 外国人/がいこくじん:외국인 || 個人/こじん:개인 || 人口/じんこう:인구
今,review,manual_review_required,,"[""지금""]","[""now""]","[""コン"",""キン""]","[""いま""]",人,사람 인,9,4,auto,14,今/いま:지금 || 今日/きょう:오늘 || 今年/ことし:올해 || 今週/こんしゅう:이번 주 || 今月/こんげつ:이번 달 || 今朝/けさ:오늘 아침 || 今晩/こんばん:오늘 밤 || 今回/こんかい:이번
介,review,manual_review_required,,"[""끼이다"",""중개하다""]","[""jammed in"",""shellfish"",""mediate"",""concern oneself with""]","[""カイ""]",[],人,사람 인,9,4,auto,4,"紹介/しょうかい:소개 || 介護/かいご:간호 || 介入/かいにゅう:개입 || 介抱/かいほう:간호, 병구완"
仏,review,manual_review_required,,"[""부처"",""프랑스""]","[""Buddha"",""the dead"",""France""]","[""ブツ"",""フツ""]","[""ほとけ""]",人,사람 인,9,4,auto,1,仏像/ぶつぞう:불상
仕,review,manual_review_required,,"[""섬기다"",""모시다""]","[""attend"",""doing"",""official"",""serve""]","[""シ"",""ジ""]","[""つか.える""]",人,사람 인,9,5,auto,16,"仕事/しごと:일, 업무 || 仕方/しかた:방법, 방식 || 仕上げる/しあげる:일을끝내다 || 仕上がる/しあがる:마무리되다,완성되다 || 仕方がない/しかたがない:어쩔 수 없다, 불가피하다 || 仕方なく/しかたなく:어쩔 수 없이 || 仕様/しよう:할 도리;수단, 특히, 만드는 물품에 관해 요구되는 특정 형상·구조·치수·성분·정밀도·성능·제조법·시험 방법 등의 규정 || 仕組み/しくみ:구조,원리"
他,review,manual_review_required,,"[""그 외"",""그 밖""]","[""other"",""another"",""the others""]","[""タ""]","[""ほか""]",人,사람 인,9,5,auto,4,"その他/そのた:그 외, 그 밖 || 他人/たにん:타인 || 他方/たほう:다른 한편 || 他動詞/たどうし:타동사"
付,review,manual_review_required,,"[""붙다"",""달리다""]","[""adhere"",""attach"",""refer to"",""append""]","[""フ""]","[""つ.ける"",""-つ.ける"",""-づ.ける"",""つ.け"",""つ.け-"",""-つ.け"",""-づ.け"",""-づけ"",""つ.く"",""-づ.く"",""つ.き"",""-つ.き"",""-つき"",""-づ.き"",""-づき""]",人,사람 인,9,5,auto,23,"受付/うけつけ:접수처, 접수 || 付ける/つける:붙이다, 달다 || 付く/つく:붙다, 달리다 || 片付ける/かたづける:정리하다, 치우다 || 日付/ひづけ:일부;날짜;문서 따위에, 그것의 작성·발송·접수 등의 연월일을 기입함 || 気付く/きづく:깨닫다, 알아차리다 || 付き合う/つきあう:사귀다, 어울리다 || 片付く/かたづく:정리되다, 해결되다"
代,review,manual_review_required,,"[""대신하다"",""교대하다""]","[""substitute"",""change"",""convert"",""replace"",""period"",""age"",""counter for decades of ages, eras, etc."",""generation"",""charge"",""rate"",""fee""]","[""ダイ"",""タイ""]","[""か.わる"",""かわ.る"",""かわ.り"",""か.わり"",""-がわ.り"",""-が.わり"",""か.える"",""よ"",""しろ""]",人,사람 인,9,5,auto,22,"時代/じだい:시대, 시기 || 代わり/かわり:대신, 대체 || 年代/ねんだい:연대 || 代表/だいひょう:대표 || 代表的/だいひょうてき:대표적이다 || 電話代/でんわだい:전화 요금 || 現代/げんだい:현대 || 電車代/でんしゃだい:전철 요금"
令,review,manual_review_required,,"[""명령"",""법령""]","[""orders"",""laws"",""command"",""decree"",""good""]","[""レイ""]",[],人,사람 인,9,5,auto,2,"命令/めいれい:명령 || 指令/しれい:명령하다, 주문하다, 지시, 설명"
以,review,manual_review_required,,"[""써서"",""이유"",""비교""]","[""by means of"",""because"",""in view of"",""compared with""]","[""イ""]","[""もっ.て""]",人,사람 인,9,5,auto,8,"以上/いじょう:이상; 이상으로 끝 || 以外/いがい:이외 || 以下/いか:이하 || 以内/いない:이내 || 以前/いぜん:이전, 예전 || 以後/いご:이후 || 以降/いこう:이후 || 以来/いらい:이래, 이후"
仮,review,manual_review_required,,"[""임시"",""가짜""]","[""sham"",""temporary"",""interim"",""assumed (name)"",""informal""]","[""カ"",""ケ""]","[""かり"",""かり-""]",人,사람 인,9,6,auto,6,"仮定する/かていする:가정하다 || 仮定/かてい:가정, 전제 || 仮名/かな:가나 || 送り仮名/おくりがな:오쿠리가나 || 振り仮名/ふりがな:후리가나(읽기 표기) || 仮名遣い/かなづかい:가나 표기법"
仰,review,manual_review_required,,"[""우러러보다"",""청하다""]","[""face-up"",""look up"",""depend"",""seek"",""respect"",""revere"",""drink"",""take""]","[""ギョウ"",""コウ""]","[""あお.ぐ"",""おお.せ"",""お.っしゃる"",""おっしゃ.る""]",人,사람 인,9,6,auto,2,"信仰/しんこう:신앙(종교적인), 믿음 || 仰天/ぎょうてん:경악,몹시놀람"
仲,review,manual_review_required,,"[""사이"",""관계""]","[""go-between"",""relationship""]","[""チュウ""]","[""なか""]",人,사람 인,9,6,auto,5,"仲良し/なかよし:친한 친구, 사이좋음 || 仲直り/なかなおり:화해 || 仲間/なかま:동료 || 仲裁/ちゅうさい:중재 || 仲人/なこうど:중매인"
件,review,manual_review_required,,"[""건"",""사항""]","[""affair"",""case"",""matter"",""item""]","[""ケン""]","[""くだん""]",人,사람 인,9,6,auto,4,"事件/じけん:사건 || 条件/じょうけん:조건 || 用件/ようけん:용건 || 件/けん:건, 사항"
任,review,manual_review_required,,"[""맡기다""]","[""responsibility"",""duty"",""term"",""entrust to"",""appoint""]","[""ニン""]","[""まか.せる"",""まか.す""]",人,사람 인,9,6,auto,10,責任/せきにん:책임 || 任せる/まかせる:맡기다 || 就任/しゅうにん:취임 || 担任/たんにん:담임 || 任務/にんむ:임무 || 主任/しゅにん:주임 || 任命/にんめい:임명 || 赴任/ふにん:부임
企,review,manual_review_required,,"[""꾀하다"",""계획하다""]","[""undertake"",""scheme"",""design"",""attempt"",""plan""]","[""キ""]","[""くわだ.てる"",""たくら.む""]",人,사람 인,9,6,auto,2,"企業/きぎょう:기업 || 企画/きかく:계획, 프로젝트"
伏,review,manual_review_required,,"[""엎드리다"",""복종하다""]","[""prostrated"",""bend down"",""bow"",""cover"",""lay (pipes)""]","[""フク""]","[""ふ.せる"",""ふ.す""]",人,사람 인,9,6,auto,3,降伏/こうふく:항복 || 潜伏/せんぷく:잠복 || 起伏/きふく:기복
休,review,manual_review_required,,"[""쉬다""]","[""rest"",""day off"",""retire"",""sleep""]","[""キュウ""]","[""やす.む"",""やす.まる"",""やす.める""]",人,사람 인,9,6,auto,18,"休む/やすむ:쉬다 || 昼休み/ひるやすみ:점심시간, 점심 휴식 || 休日/きゅうじつ:휴일 || 休憩/きゅうけい:휴식 || 連休/れんきゅう:연휴 || 休暇/きゅうか:휴가 || 休業/きゅうぎょう:휴업 || 休養/きゅうよう:휴양, 휴식"
会,review,manual_review_required,,"[""만나다""]","[""meeting"",""meet"",""party"",""association"",""interview"",""join""]","[""カイ"",""エ""]","[""あ.う"",""あ.わせる"",""あつ.まる""]",人,사람 인,9,6,auto,39,"会社/かいしゃ:회사 || 会う/あう:만나다 || 会議/かいぎ:회의, 회합 || 会場/かいじょう:회장(장소) || 会話/かいわ:대화 || 会議室/かいぎしつ:회의 방 || 教会/きょうかい:교회 || 展覧会/てんらんかい:전시"
伝,review,manual_review_required,,"[""전하다"",""전달하다""]","[""transmit"",""go along"",""walk along"",""follow"",""report"",""communicate"",""legend"",""tradition""]","[""デン"",""テン""]","[""つた.わる"",""つた.える"",""つた.う"",""つだ.う"",""-づた.い"",""つて""]",人,사람 인,9,6,auto,12,"伝える/つたえる:전하다, 전달하다 || 手伝う/てつだう:돕다 || 宣伝/せんでん:선전 || 伝わる/つたわる:전해지다 || 手伝い/てつだい:도움, 거듦 || 伝染/でんせん:전염 || 伝言/でんごん:전언,전하는말,메시지 || お手伝いさん/おてつだいさん:가정부, 도우미"
伯,review,manual_review_required,,"[""백작"",""숙부""]","[""chief"",""count"",""earl"",""uncle"",""Brazil""]","[""ハク""]",[],人,사람 인,9,7,auto,3,"伯父さん/おじさん:부모보다 나이가 많은 삼촌; 아저씨 || 伯父/おじ:큰아버지, 백부 || 伯母/おば:부모보다 나이가 많은 아주머니"
伴,review,manual_review_required,,"[""동반하다""]","[""consort"",""accompany"",""bring with"",""companion""]","[""ハン"",""バン""]","[""ともな.う""]",人,사람 인,9,7,auto,3,伴う/ともなう:동반하다 || 同伴/どうはん:동반 || 伴奏/ばんそう:반주
伸,review,manual_review_required,,"[""늘다"",""신장하다""]","[""expand"",""stretch"",""extend"",""lengthen"",""increase""]","[""シン""]","[""の.びる"",""の.ばす"",""の.べる"",""の.す""]",人,사람 인,9,7,auto,2,"伸びる/のびる:늘다,신장하다 || 伸ばす/のばす:늘리다,신장시키다"
伺,review,manual_review_required,,"[""여쭙다"",""찾아뵙다""]","[""pay respects"",""visit"",""ask"",""inquire"",""question"",""implore""]","[""シ""]","[""うかが.う""]",人,사람 인,9,7,needs_review,1,"伺う/うかがう:여쭙다, 찾아뵙다(겸양어)"
似,review,manual_review_required,,"[""닮다"",""비슷하다""]","[""becoming"",""resemble"",""counterfeit"",""imitate"",""suitable""]","[""ジ""]","[""に.る"",""ひ.る""]",人,사람 인,9,7,auto,5,"似合う/にあう:어울리다 || 似る/にる:닮다, 비슷하다 || 真似/まね:흉내 || 真似る/まねる:흉내 내다, 모방하다 || 似通う/にかよう:서로 닮다, 비슷하다"
但,review,manual_review_required,,"[""다만"",""그러나""]","[""however"",""but""]","[""タン""]","[""ただ.し""]",人,사람 인,9,7,needs_review,1,"但し/ただし:다만, 단"
位,review,manual_review_required,,"[""지위"",""등급"",""정도""]","[""rank"",""grade"",""throne"",""crown"",""about"",""some""]","[""イ""]","[""くらい"",""ぐらい""]",人,사람 인,9,7,auto,6,"位/くらい:지위, 등급; 정도 || 位置/いち:위치 || 単位/たんい:단위, 학점 || 地位/ちい:지위 || 上位/じょうい:상위 || 優位/ゆうい:우위"
低,review,manual_review_required,,"[""낮다""]","[""lower"",""short"",""humble""]","[""テイ""]","[""ひく.い"",""ひく.める"",""ひく.まる""]",人,사람 인,9,7,auto,3,"最低/さいてい:최저; 최악 || 低下/ていか:저하, 하락 || 高低/こうてい:고저,높낮이"
住,review,manual_review_required,,"[""살다"",""주거하다""]","[""dwell"",""reside"",""live"",""inhabit""]","[""ジュウ"",""ヂュウ"",""チュウ""]","[""す.む"",""す.まう"",""-ず.まい""]",人,사람 인,9,7,auto,9,"住む/すむ:살다, 주거하다 || 住所/じゅうしょ:주소 || 住民/じゅうみん:주민 || 住居/じゅうきょ:주거, 거처 || 住まい/すまい:주거, 거처, 집 || 住宅/じゅうたく:주택, 주거 || 衣食住/いしょくじゅう:음식, 옷 피난처 || 移住/いじゅう:이주, 이민"
体,review,manual_review_required,,"[""몸""]","[""body"",""substance"",""object"",""reality"",""counter for images""]","[""タイ"",""テイ""]","[""からだ"",""かたち""]",人,사람 인,9,7,auto,32,体/からだ:몸 || 全体/ぜんたい:전체 || 一体/いったい:대체 || 大体/だいたい:대체로; 대략 || 団体/だんたい:단체 || 体重/たいじゅう:체중 || 体育/たいいく:체육 || 体力/たいりょく:체력
